Year AD,Temperature (deg C anomaly wrt 1961-1990),2 sigma unc. low,2 sigma unc. high,,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990),,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990)
121,-0.19,-1.18,1.09,,,,,,
122,0.23,-0.54,1.01,,,,,,
123,-0.36,-1.23,0.64,,,,,,
124,-0.40,-1.45,0.80,,,,,,
125,0.36,-0.79,1.62,,,,,,
126,-0.04,-0.96,0.95,,,,,,
127,0.17,-0.93,1.58,,,,,,
128,-0.36,-1.36,0.80,,,,,,
129,-0.16,-1.08,0.75,,,,,,
130,0.27,-0.77,1.41,,,,,,
131,0.90,0.05,1.89,,,,,,
132,0.08,-0.90,1.10,,,,,,
133,0.06,-1.07,1.09,,,,,,
134,-0.19,-1.30,1.04,,,,,,
135,-0.26,-1.25,0.72,,,,,,
136,0.32,-0.55,1.37,,,,,,
137,-0.14,-1.20,1.05,,,,,,
138,-0.17,-1.10,0.67,,,,,,
139,-0.05,-1.04,0.92,,,,,,
140,0.61,-0.33,1.59,,,,,,
141,-0.06,-0.99,0.90,,,,,,
142,0.48,-0.66,1.78,,,,,,
143,0.26,-1.01,1.81,,,,,,
144,0.49,-0.49,1.57,,,,,,
145,-0.06,-1.22,1.10,,,,,,
146,-0.51,-1.31,0.36,,,,,,
147,0.26,-0.53,1.15,,,,,,
148,-0.39,-1.28,0.73,,,,,,
149,0.35,-0.57,1.41,,,,,,
150,-1.06,-2.02,0.12,,,,,,
151,-0.27,-1.26,1.08,,,,,,
152,-0.37,-1.37,0.99,,,,,,
153,-0.42,-1.57,0.97,,,,,,
154,-0.61,-1.63,0.55,,,,,,
155,-0.20,-1.25,1.01,,,,,,
156,0.11,-0.84,1.07,,,,,,
157,-0.23,-1.03,0.72,,,,,,
158,-0.30,-1.22,0.96,,,,,,
159,0.16,-0.93,1.54,,,,,,
160,-0.29,-1.27,1.00,,,,,,
161,0.09,-0.85,1.11,,,,,,
162,-0.05,-1.00,0.85,,,,,,
163,-0.99,-2.07,0.43,,,,,,
164,-0.61,-1.65,0.78,,,,,,
165,-0.79,-1.88,0.35,,,,,,
166,-1.56,-2.63,-0.58,,,,,,
167,-1.54,-2.56,-0.37,,,,,,
168,-0.83,-1.79,0.41,,,,,,
169,-1.12,-2.00,0.12,,,,,,
170,-1.37,-2.58,-0.17,,,,,,
171,-0.39,-1.47,0.93,,,,,,
172,-0.40,-1.22,0.70,,,,,,
173,-0.15,-1.31,1.30,,,,,,
174,-0.92,-1.80,0.33,,,,,,
175,-0.83,-1.86,0.60,,,,,,
176,-0.24,-1.27,1.14,,,,,,
177,-0.62,-1.66,0.59,,,,,,
178,0.10,-0.93,1.22,,,,,,
179,-0.13,-1.04,0.84,,,,,,
180,-0.33,-1.64,1.31,,,,,,
181,-0.21,-1.32,1.21,,,,,,
182,-0.71,-1.95,0.76,,,,,,
183,-0.14,-1.18,1.16,,,,,,
184,-0.56,-1.34,0.37,,,,,,
185,-0.74,-1.63,0.20,,,,,,
186,-0.28,-1.21,0.69,,,,,,
187,0.45,-0.71,1.66,,,,,,
188,0.20,-0.83,1.41,,,,,,
189,0.32,-0.64,1.43,,,,,,
190,-0.28,-1.30,1.02,,,,,,
191,0.44,-0.59,1.65,,,,,,
192,-0.42,-1.29,0.58,,,,,,
193,-0.63,-1.39,0.29,,,,,,
194,0.06,-0.78,0.97,,,,,,
195,-0.62,-1.42,0.26,,,,,,
196,-0.64,-1.69,0.66,,,,,,
197,-0.63,-1.54,0.44,,,,,,
198,-0.50,-1.50,0.59,,,,,,
199,-0.21,-1.35,1.15,,,,,,
200,0.48,-0.47,1.50,,,,,,
201,-0.57,-1.54,0.51,,,,,,
202,-0.23,-1.12,0.86,,,,,,
203,-0.41,-1.22,0.59,,,,,,
204,0.43,-0.72,1.85,,,,,,
205,0.28,-0.65,1.22,,,,,,
206,0.88,-0.21,1.82,,,,,,
207,-0.33,-1.30,0.85,,,,,,
208,-0.36,-1.28,0.66,,,,,,
209,-0.31,-1.40,0.87,,,,,,
210,0.22,-0.94,1.62,,,,,,
211,-0.47,-1.48,0.69,,,,,,
212,-0.19,-1.19,0.77,,,,,,
213,-0.27,-1.24,0.59,,,,,,
214,-0.64,-1.46,0.37,,,,,,
215,-0.40,-1.11,0.46,,,,,,
216,-0.63,-1.45,0.13,,,,,,
