Year,B16,B17,B18,B18_12,B19,B20,B21,B21_12,B22,B22_12,B23,B23_12,B26,B26_12,B27.28,B29,B30,NGRIP,NGRIP_12,GISP2,GRIP,NEGIS,NEEM
1002,,,-36.5841,,-34.7728,-36.8405,,,,,,,,,,,,-36.7,,-32.85,-34.98,,
1001,,,-36.8248,,-35.4013,-37.1324,,,,,,,,,,,,-33.77,,-34.5,-35.08,,
1000,,,-37.4863,,-35.9406,-36.5679,,,,,,,,,,,,-33.56,,-35.96,-36.86,,
999,,,-37.6378,,-35.5402,-35.9522,,,,,,,,,,,,-32.88,,-36.07,-34.13,,
998,,,-36.5292,,-35.0139,-35.7387,,,,,,,,,,,,-34.18,,-34.96,-35.56,,
997,,,-35.3833,,-34.9855,-35.4807,,,,,,,,,,,,-38.09,,-35.11,-35.72,,
996,,,-36.2597,,-34.5808,-35.3399,,,,,,,,,,,,-38.52,,-34.77,-35.79,,
995,,,-36.7886,,-34.8506,-35.2275,,,,,,,,,,,,-35.84,,-33.18,-34.91,,
994,,,-37.7224,,-36.3896,-35.2533,,,,,,,,,,,,-35.79,,-32.89,-37.08,,
993,,,-38.6593,,-37.3309,-35.7335,,,,,,,,,,,,-35.46,,-34.65,-36.1,,
992,,,-39.4131,,-36.5577,-36.0594,,,,,,,,,,,,-35.08,,-33.25,-34.67,,
991,,,-39.0089,,-34.889,-36.0231,,,,,,,,,,,,-35.9,,-34.3,-34.48,,
990,,,-37.673,,-33.6091,-35.7186,,,,,,,,,,,,-35.9,,-33.35,-34.76,,
989,,,-35.9726,,-33.7752,-35.0667,,,,,,,,,,,,-36.03,,-33.23,-36.86,,
988,,,-34.9327,,-33.9621,-34.0123,,,,,,,,,,,,-34.46,,-35.23,-35.75,,
987,,,-35.3793,,-34.9477,-33.4677,,,,,,,,,,,,-33.19,,-35.65,-35.64,,
986,,,-37.1303,,-36.2776,-33.272,,,,,,,,,,,,-34.12,,-35.81,-35.13,,
985,,,-38.1744,,-37.3198,-33.2307,,,,,,,,,,,,-35.5,,-33.73,-34.8,,
984,,,-37.6671,,-37.3828,-33.2695,,,,,,,,,,,,-36.28,,-33.8,-35.67,,
983,,,-36.6719,,-36.5207,-33.2594,,,,,,,,,,,,-35.57,,-33.11,-35.08,,
982,,,-36.1217,,-35.6785,-33.3179,,,,,,,,,,,,-34.12,,-33.16,-36.7,,
981,,,-36.8616,,-35.136,-34.0376,,,,,,,,,,,,-34.61,,-33.26,-36.51,,
980,,,-36.4343,,-34.696,-35.1753,,,,,,,,,,,,-35.12,,-35.31,-35.99,,
979,,,-34.9704,,-34.2936,-36.9273,,,,,,,,,,,,-34.97,,-35.54,-34.17,,
978,,,-33.8196,,-34.3022,-36.3651,,,,,,,,,,,,-33.76,,-33.88,-34.89,,
977,,,-34.1082,,-34.5289,-34.9327,,,,,,,,,,,,-32.65,,-35.39,-32.86,,
976,,,-35.4256,,-34.117,-35.5124,,,,,,,,,,,,-34.13,,-35.55,-34.69,,
975,,,-36.1779,,-33.5416,-36.5972,,,,,,,,,,,,-36.85,,-34.43,-35.91,,
974,,,-36.3501,,-32.9699,-36.9782,,,,,,,,,,,,-35.97,,-31.76,-33.98,,
973,,,-36.9947,,-33.4519,-36.7421,,,,,,,,,,,,-35.27,,-32.57,-34.52,,
972,,,-36.7301,,-34.3482,-36.4717,,,,,,,,,,,,-35.63,,-33.92,-35.56,,
971,,,-36.3723,,-33.8605,-35.9678,,,,,,,,,,,,-36.46,,-35.63,-36.31,,
970,,,-36.6164,,-33.1505,-35.7549,,,,,,,,,,,,-35.55,,-34.71,-34.89,,
969,,,-36.5137,,-33.0386,-35.1892,,,,,,,,,,,,-35.38,,-35.14,-34.43,,
968,,,-35.3093,,-34.0472,-33.5232,,,,,,,,,,,,-35.29,,-35.09,-33.42,,
967,,,-34.4988,,-34.9871,-34.2801,,,,,,,,,,,,-36.02,,-34,-36.63,,
966,,,-35.605,,-34.6626,-35.3886,,,,,,,,,,,,-36.24,,-33.35,-36.41,,
965,,,-35.7494,,-33.4243,-35.6587,,,,,,,,,,,,-35.31,,-35.72,-34.4,,
964,,,-34.5253,,-33.0726,-35.416,,,,,,,,,,,,-34.85,,-36.01,-34.96,,
963,,,-33.9182,,-33.2353,-34.442,,,,,,,,,,,,-35.76,,-36.58,-34.39,,
962,,,-33.8114,,-33.3192,-34.6399,,,,,,,,,,,,-33.95,,-35.41,-31.89,,
961,,,-34.1023,,-33.2884,-35.9286,,,,,,,,,,,,-33.19,,-34.84,-33.34,,
960,,,-35.3758,,-33.9049,-37.0179,,,,,,,,,,,,-33.84,,-34.89,-34.23,,
959,,,-36.011,,-34.2707,-37.3047,,,,,,,,,,,,-34.46,,-35.78,-34.39,,
958,,,-35.9004,,-34.204,-36.8597,,,,,,,,,,,,-35.13,,-36.44,-34.63,,
957,,,-36.3618,,-35.3872,-35.8319,,,,,,,,,,,,-34.63,,-33.93,-34.23,,
956,,,-37.2642,,-36.1064,-34.976,,,,,,,,,,,,-34.83,,-33.56,-31.7,,
955,,,-36.2052,,-35.9138,-34.2873,,,,,,,,,,,,-35.38,,-34.19,-33.34,,
954,,,-35.5551,,-36.0432,-33.6291,,,,,,,,,,,,-34.8,,-33.38,-34.47,,
953,,,-36.2816,,-36.3593,-32.9757,,,,,,,,,,,,-33.38,,-35.38,-35.78,,
952,,,-36.8846,,-35.8102,-33.3836,,,,,,,,,,,,-34.02,,-33.03,-36.08,,
951,,,-36.3018,,-35.2945,-33.6746,,,,,,,,,,,,-36.31,,-34.28,-35.85,,
950,,,-35.8514,,-35.6911,-33.5322,,,,,,,,,,,,-34.8,,-33.83,-33.39,,
949,,,-36.4132,,-35.5698,-34.557,,,,,,,,,,,,-34.91,,-35.7,-34.87,,
948,,,-36.5017,,-34.0414,-35.2707,,,,,,,,,,,,-36.76,,-34.39,-35.88,,
947,,,-35.8033,,-33.6245,-35.5117,,,,,,,,,,,,-35.34,,-33.83,-35.59,,
946,,,-35.4036,,-34.1068,-34.2119,,,,,,,,,,,,-34.97,,-34.68,-35.56,,
945,,,-35.3452,,-34.0172,-33.8576,,,,,,,,,,,,-34.13,,-35.94,-34.25,,
944,,,-35.2841,,-33.4363,-33.899,,,,,,,,,,,,-34.53,,-35.5,-36.49,,
943,,,-35.9097,,-34.1567,-34.0331,,,,,,,,,,,,-36.55,,-33.88,-33.93,,
942,,,-36.9858,,-34.6552,-33.9753,,,,,,,,,,,,-34.59,,-33.93,-34.84,,
941,,,-37.9511,,-35.117,-33.2506,,,,,,,,,,,,-34.89,,-34.23,-35.51,,
940,,,-37.9144,,-35.8419,-32.7825,,,,,,,,,,,,-35.63,,-35.37,-35.16,,
939,,,-36.8973,,-35.5832,-32.5164,,,,,,,,,,,,-33.59,,-33.27,-37.64,,
938,,,-36.4672,,-35.2288,-32.4459,,,,,,,,,,,,-33.4,,-34.12,-33.5,,
937,,,-36.2331,,-35.6828,-32.7401,,,,,,,,,,,,-33.85,,-34.36,-35.36,,
936,,,-36.0075,,-37.2354,-33.6665,,,,,,,,,,,,-35.44,,-34.3,-34.47,,
935,,,-36.2211,,-37.3586,-34.6934,,,,,,,,,,,,-34.65,,-33.31,-37.34,,
934,,,-36.9161,,-36.0578,-35.2538,,,,,,,,,,,,-33.62,,-34.53,-38.15,,
933,,,-36.9609,,-35.8525,-34.9799,,,,,,,,,,,,-33.95,,-34.61,-35.61,,
932,,,-36.1847,,-36.6917,-33.9782,,,,,,,,,,,,-33.69,,-34.87,-34.39,,
931,,,-36.6087,,-36.4048,-33.4538,,,,,,,,,,,,-34.91,,-35.28,-33.83,,
930,,,-36.4343,,-34.8207,-33.6955,,,,,,,,,,,,-35.27,,-35.21,-35.83,,
929,,,-36.0682,,-33.4913,-34.2083,,,,,,,,,,,,-34.36,,-33.81,-34.84,,
928,,,-36.6361,,-33.1952,-34.5268,,,,,,,,,,,,-34.16,,-34.51,-35.64,,
927,,,-36.6177,,-32.8894,-34.9682,,,,,,,,,,,,-34.54,,-35.12,-35.19,,
926,,,-35.52,,-33.3052,-35.1418,,,,,,,,,,,,-34.58,,-33.24,-35.06,,
925,,,-35.3429,,-34.0829,-34.9037,,,,,,,,,,,,-36.15,,-33.72,-34.06,,
924,,,-35.8074,,-34.2236,-34.8771,,,,,,,,,,,,-37.51,,-35.12,-34.56,,
923,,,-36.5364,,-34.2495,-35.1656,,,,,,,,,,,,-38.85,,-35.41,-35.1,,
922,,,-37.0227,,-34.5877,-35.5219,,,,,,,,,,,,-37.47,,-33.93,-34.39,,
921,,,-36.5241,,-35.4373,-36.1269,,,,,,,,,,,,-35.43,,-35.64,-37.04,,
920,,,-36.4226,,-35.3226,-36.4067,,,,,,,,,,,,-35.52,,-35.42,-34.02,,
919,,,-36.5236,,-34.7676,-35.5283,,,,,,,,,,,,-34.36,,-36.48,-33.74,,
918,,,-36.5342,,-34.5114,-34.8032,,,,,,,,,,,,-35.06,,-35.99,-34.8,,
917,,,-36.4872,,-34.5388,-34.7788,,,,,,,,,,,,-35.59,,-34.94,-35.89,,
916,,,-36.4976,,-34.9953,-35.2575,,,,,,,,,,,,-36.97,,-34.88,-35.97,,
915,,,-34.8348,,-34.8327,-35.7302,,,,,,,,,,,,-37.01,,-35.03,-35.43,,
914,,,-36.0719,,-34.4862,-36.3959,,,,,,,,,,,,-36.22,,-36.25,-36.8,,
913,,,-36.4183,,-35.1356,-36.7384,,,,,,,,,,,,-34.72,,-34.31,-36.36,,
912,,,-36.9967,,-35.6408,-36.2606,,,,,,,,,,,,-35.14,,-33.82,-34.8,,
911,,,-37.5088,,-35.5965,-35.7921,,,,,,,,,,,,-35.32,,-35.33,-36.08,,
910,,,-38.0875,,-35.3788,-35.6208,,,,,,,,,,,,-33.59,,-35.51,-35.54,,
909,,,-37.893,,-35.5601,-34.9353,,,,,,,,,,,,-35.38,,-33.11,-33.59,,
908,,,-37.3582,,-35.3045,-33.9652,,,,,,,,,,,,-35.13,,-35.75,-34.23,,
907,,,-36.4884,,-34.521,-33.7885,,,,,,,,,,,,-34.91,,-34.98,-33.71,,
906,,,-36.5252,,-33.663,-34.3022,,,,,,,,,,,,-35.28,,-34.74,-33.18,,
905,,,-37.2886,,-33.4868,-35.3104,,,,,,,,,,,,-36.24,,-34.95,-35.92,,
904,,,-37.6258,,-33.3166,-35.6292,,,,,,,,,,,,-37.09,,-33.15,-34.57,,
903,,,-37.2842,,-34.8007,-35.559,,,,,,,,,,,,-36.6,,-35.45,-35.02,,
902,,,-36.8756,,-35.7624,-35.114,,,,,,,,,,,,-36.71,,-35.77,-33.77,,
901,,,-36.7774,,-35.8178,-34.4035,,,,,,,,,,,,-34.52,,-35.94,-34.79,,
900,,,-36.9076,,-35.7645,-33.8933,,,,,,,,,,,,-34.77,,-35.79,-32.95,,
899,,,-37.3033,,-35.5556,-33.2324,,,,,,,,,,,,-35.51,,-37.08,-35.11,,
898,,,-37.5235,,-35.8111,-32.556,,,,,,,,,,,,-35.42,,-35.63,-34.67,,
897,,,-37.2859,,-36.4471,-32.5179,,,,,,,,,,,,-36.5,,-33.94,-35.69,,
896,,,-36.8204,,-37.0878,-33.4716,,,,,,,,,,,,-35.15,,-34.67,-34.92,,
895,,,-36.3368,,-36.1982,-33.8849,,,,,,,,,,,,-35.88,,-33.52,-35.21,,
894,,,-36.2512,,-35.0094,-33.7813,,,,,,,,,,,,-36.21,,-34.25,-36.1,,
893,,,-36.2819,,-35.3127,-33.8499,,,,,,,,,,,,-36.89,,-35.75,-35.88,,
892,,,-36.2849,,-36.6392,-34.4613,,,,,,,,,,,,-34.96,,-34.35,-35.93,,
891,,,-36.4691,,-37.1974,-34.9855,,,,,,,,,,,,-33.95,,-34.49,-35.74,,
890,,,-36.6931,,-36.945,-34.8111,,,,,,,,,,,,-35.07,,-35.01,-35.15,,
889,,,-36.8017,,-35.6209,-34.0311,,,,,,,,,,,,-35.34,,-34.59,-35.99,,
888,,,-36.8403,,-34.3582,-33.0735,,,,,,,,,,,,-35.95,,-36.29,-34.23,,
887,,,-37.2215,,-33.7683,-32.9009,,,,,,,,,,,,-36.01,,-34.94,-35.74,,
886,,,-36.9539,,-33.6911,-33.6577,,,,,,,,,,,,-35.55,,-34.3,-35.6,,
885,,,-35.9998,,-33.7387,-34.5835,,,,,,,,,,,,-36.45,,-35.31,-35.8,,
884,,,-35.0611,,-33.664,-34.4102,,,,,,,,,,,,-36.04,,-35.18,-35.58,,
883,,,-34.9461,,-34.0778,-34.2926,,,,,,,,,,,,-35.48,,-36.05,-35.41,,
882,,,-34.9467,,-34.9179,-34.6513,,,,,,,,,,,,-35.5,,-35.43,-37.79,,
881,,,-34.834,,-35.9675,-35.1799,,,,,,,,,,,,-36.47,,-34.69,-35.75,,
880,,,-34.6331,,-35.9972,-35.7779,,,,,,,,,,,,-37.15,,-35.6,-35.41,,
879,,,-34.7696,,-35.5554,-36.5144,,,,,,,,,,,,-36.56,,-35.36,-34.25,,
878,,,-34.69,,-34.7949,-36.5704,,,,,,,,,,,,-36.9,,-35.4,-34.11,,
877,,,-33.9234,,-33.9294,-36.0582,,,,,,,,,,,,-35.87,,-36.07,-35.46,,
876,,,-33.9961,,-33.88,-35.9099,,,,,,,,,,,,-35.75,,-36.14,-35.39,,
875,,,-36.0153,,-34.0557,-35.7875,,,,,,,,,,,,-35.84,,-35.66,-36.29,,
874,,,-36.9306,,-33.5227,-35.4391,,,,,,,,,,,,-35.57,,-35.34,-36.56,,
873,,,,,-33.1959,-35.2563,,,,,,,,,,,,-34.86,,-33.65,-35.17,,
872,,,,,-33.4955,-36.085,,,,,,,,,,,,-35.1,,-33.67,-35.76,,
871,,,,,-34.235,-37.0004,,,,,,,,,,,,-34.48,,-36.24,-36.58,,
870,,,,,-33.8747,-36.1707,,,,,,,,,,,,-35.78,,-34.81,-34.97,,
869,,,,,-33.7394,-34.4454,,,,,,,,,,,,-36.33,,-36.33,-34.18,,
868,,,,,-34.7958,-34.0943,,,,,,,,,,,,-36.24,,-35.71,-35.33,,
867,,,,,-34.7027,-34.6942,,,,,,,,,,,,-35.55,,-35.16,-36.31,,
866,,,,,-34.2273,-35.1217,,,,,,,,,,,,-33.46,,-34.5,-36.24,,
865,,,,,-33.152,-36.0437,,,,,,,,,,,,-33.17,,-34.91,-36.31,,
864,,,,,-33.4786,-37.5495,,,,,,,,,,,,-33.52,,-35.1,-32.68,,
863,,,,,-34.5522,-38.7485,,,,,,,,,,,,-34.55,,-34.95,-35.2,,
862,,,,,-34.5534,-38.9032,,,,,,,,,,,,-36.73,,-34.31,-34.95,,
861,,,,,-34.8092,-38.1652,,,,,,,,,,,,-35.69,,-35.22,-37.37,,
860,,,,,-35.7302,-37.0044,,,,,,,,,,,,-34.94,,-35.85,-36.57,,
859,,,,,-36.0588,-36.1002,,,,,,,,,,,,-35.86,,-34.79,-33.84,,
858,,,,,-36.4558,-35.7248,,,,,,,,,,,,-35.85,,-34.04,-37.16,,
857,,,,,-35.1543,-35.8771,,,,,,,,,,,,-35.9,,-36.6,-36.07,,
856,,,,,-36.3168,-35.4696,,,,,,,,,,,,-33.62,,-37.33,-37.49,,
855,,,,,-36.764,-34.3947,,,,,,,,,,,,-34.02,,-36.43,-35.43,,
854,,,,,-37.0188,-33.5007,,,,,,,,,,,,-37.18,,-37.51,-35.23,,
853,,,,,-37.6299,-32.9919,,,,,,,,,,,,-37.27,,-36.39,-36.17,,
852,,,,,-37.4462,-33.1441,,,,,,,,,,,,-36.45,,-34.7,-35.28,,
851,,,,,-36.9399,-33.5119,,,,,,,,,,,,-36.25,,-35.26,-35.39,,
850,,,,,-34.941,-33.955,,,,,,,,,,,,-36.14,,-35.79,-33.94,,
849,,,,,-33.9563,-34.3501,,,,,,,,,,,,-36.02,,-34.67,-34.89,,
848,,,,,-34.2493,-33.9103,,,,,,,,,,,,-36.2,,-34.94,-36.48,,
847,,,,,-33.6398,-33.7564,,,,,,,,,,,,-37.22,,-34.19,-36.74,,
846,,,,,-34.0647,-33.6817,,,,,,,,,,,,-35.6,,-33.85,-35.64,,
845,,,,,-35.2489,-33.6947,,,,,,,,,,,,-33.49,,-36.39,-34.98,,
844,,,,,-35.6093,-33.6998,,,,,,,,,,,,-36.72,,-37.65,-35.87,,
843,,,,,-34.8996,-34.0595,,,,,,,,,,,,-36.1,,-34.97,-35.52,,
842,,,,,-34.8257,-34.7437,,,,,,,,,,,,-37.08,,-36.7,-34.28,,
841,,,,,-35.6569,-34.9559,,,,,,,,,,,,-34.82,,-36.35,-34.92,,
840,,,,,-36.7735,-35.1309,,,,,,,,,,,,-34.2,,-35.13,-33,,
839,,,,,-37.2887,-35.7134,,,,,,,,,,,,-36.26,,-34.15,-33.94,,
838,,,,,-36.652,-36.642,,,,,,,,,,,,-33.63,,-33.57,-33.23,,
837,,,,,-36.2678,-37.3643,,,,,,,,,,,,-33.77,,-35.69,-33.88,,
836,,,,,-36.7701,-37.318,,,,,,,,,,,,-36.98,,-36.02,-34.06,,
835,,,,,-37.6144,-36.8073,,,,,,,,,,,,-37.01,,-35.13,-35.54,,
834,,,,,-37.8696,-35.9926,,,,,,,,,,,,-35.87,,-35.59,-36.37,,
833,,,,,-38.2081,-35.3691,,,,,,,,,,,,-35.74,,-33.66,-34.92,,
832,,,,,-38.185,-35.2826,,,,,,,,,,,,-35.66,,-35.46,-36.53,,
831,,,,,-37.4895,-35.182,,,,,,,,,,,,-34.79,,-35.5,-35.84,,
830,,,,,-36.2811,-34.8342,,,,,,,,,,,,-36.55,,-33.88,-35.34,,
829,,,,,-35.1761,-34.8434,,,,,,,,,,,,-37.15,,-33.54,-36.85,,
828,,,,,-33.8493,-35.216,,,,,,,,,,,,-34.48,,-33.26,-35.49,,
827,,,,,-33.6026,-34.9129,,,,,,,,,,,,-33.43,,-34.37,-34.41,,
826,,,,,-34.2282,-34.0988,,,,,,,,,,,,-35.02,,-33.98,-35.07,,
825,,,,,-34.6858,-33.706,,,,,,,,,,,,-35.86,,-34.11,-35.98,,
824,,,,,-35.3268,-33.9978,,,,,,,,,,,,-37.33,,-34.67,-34.86,,
823,,,,,-35.3337,-34.3592,,,,,,,,,,,,-36.97,,-36.52,-34.84,,
822,,,,,-35.1749,-34.3693,,,,,,,,,,,,-35.1,,-35.51,-36.36,,
821,,,,,-34.9772,-34.5452,,,,,,,,,,,,-34.23,,-35.55,-35.51,,
820,,,,,-35.6801,-34.6215,,,,,,,,,,,,-34.32,,-36.77,-33.2,,
819,,,,,-36.2898,-34.2473,,,,,,,,,,,,-33.58,,-35.39,-35.93,,
818,,,,,-36.1584,-34.3224,,,,,,,,,,,,-32.27,,-36.2,-34.53,,
817,,,,,-35.8331,-35.1338,,,,,,,,,,,,-34.27,,,-34.48,,
816,,,,,-35.6074,-35.6729,,,,,,,,,,,,-34.77,,,-33.01,,
815,,,,,-35.2211,-35.3862,,,,,,,,,,,,-34.97,,,-34.64,,
814,,,,,-35.5607,-35.0075,,,,,,,,,,,,-35.4,,,-33.89,,
813,,,,,-36.4411,-34.8507,,,,,,,,,,,,-35.25,,,-35.37,,
812,,,,,-36.2668,-34.8938,,,,,,,,,,,,-36.25,,,-35.62,,
811,,,,,-35.911,-35.506,,,,,,,,,,,,-36.77,,,-37.01,,
810,,,,,-35.8636,-36.4515,,,,,,,,,,,,-38.19,,,-37.58,,
809,,,,,-35.4176,-37.5548,,,,,,,,,,,,-37.53,,,-37.11,,
808,,,,,-34.7206,-38.2633,,,,,,,,,,,,-35.22,,,-35.43,,
807,,,,,-34.3885,-38.2542,,,,,,,,,,,,-34.02,,,-35.01,,
806,,,,,-35.0957,-37.2405,,,,,,,,,,,,-33.74,,,-36.78,,
805,,,,,-36.1514,-35.4604,,,,,,,,,,,,-36.05,,,-34.94,,
804,,,,,-37.086,-35.0417,,,,,,,,,,,,-35.35,,,-36.16,,
803,,,,,-38.3795,-35.2471,,,,,,,,,,,,-36.58,,,-37.32,,
802,,,,,-38.7193,-35.1105,,,,,,,,,,,,-36.45,,,-37.44,,
801,,,,,-37.6045,-34.681,,,,,,,,,,,,-34.93,,,-34.74,,
800,,,,,-35.5502,-33.7505,,,,,,,,,,,,-37.12,,,-35.73,,
799,,,,,-34.8049,-33.2208,,,,,,,,,,,,-37.64,,,-35.64,,
798,,,,,-35.5328,-33.2478,,,,,,,,,,,,-36.36,,,-34.49,,
797,,,,,-36.8535,-33.3369,,,,,,,,,,,,-35.33,,,-35.77,,
796,,,,,-37.985,-33.2169,,,,,,,,,,,,-34.05,,,-34.23,,
795,,,,,-37.7375,-33.2687,,,,,,,,,,,,-35.48,,,-32.88,,
794,,,,,-36.2826,-33.7066,,,,,,,,,,,,-35.96,,,-38.38,,
793,,,,,-36.5185,-34.3866,,,,,,,,,,,,-35.04,,,-36.06,,
792,,,,,-36.8773,-35.2891,,,,,,,,,,,,-34.67,,,-35.85,,
791,,,,,-36.9491,-35.7308,,,,,,,,,,,,-34.1,,,-33.89,,
790,,,,,-36.5799,-36.1338,,,,,,,,,,,,-35.82,,,-34.49,,
789,,,,,-35.8095,-36.8151,,,,,,,,,,,,-36.05,,,-34.17,,
788,,,,,-34.7058,-37.2198,,,,,,,,,,,,-35.94,,,-33.56,,
787,,,,,-33.9971,-37.1965,,,,,,,,,,,,-34.89,,,-35.62,,
786,,,,,-33.954,-37.0298,,,,,,,,,,,,-35.37,,,-36,,
785,,,,,-34.7895,-35.0627,,,,,,,,,,,,-35.04,,,-34.75,,
784,,,,,-35.8254,-33.7822,,,,,,,,,,,,-34.83,,,-34.15,,
783,,,,,-36.4711,-33.7749,,,,,,,,,,,,-35.21,,,-35.81,,
782,,,,,-35.8967,-34.145,,,,,,,,,,,,-35.93,,,-35.13,,
781,,,,,-34.7776,-34.1099,,,,,,,,,,,,-35.49,,,-35.2,,
780,,,,,-34.0074,-33.6798,,,,,,,,,,,,-35.13,,,-35.95,,
779,,,,,-35.1268,-33.6818,,,,,,,,,,,,-34.77,,,-35.85,,
778,,,,,-36.7644,-33.8693,,,,,,,,,,,,-36.51,,,-36.26,,
777,,,,,-38.0152,-33.8893,,,,,,,,,,,,-36.55,,,-37.87,,
776,,,,,-38.0676,-34.299,,,,,,,,,,,,-35.27,,,-37.17,,
775,,,,,-37.643,-34.8289,,,,,,,,,,,,-35.37,,,-34.24,,
774,,,,,-36.1962,,,,,,,,,,,,,-34.67,,,-33.73,,
773,,,,,-35.3568,,,,,,,,,,,,,-34.36,,,-34.13,,
772,,,,,-35.1967,,,,,,,,,,,,,-34.1,,,-34.38,,
771,,,,,-36.1712,,,,,,,,,,,,,-34.81,,,-34.26,,
770,,,,,-36.8819,,,,,,,,,,,,,-34.65,,,-37.3,,
769,,,,,-35.3527,,,,,,,,,,,,,-33.72,,,-35.06,,
768,,,,,-34.3456,,,,,,,,,,,,,-36.07,,,-34.37,,
767,,,,,-34.3823,,,,,,,,,,,,,-35.63,,,-34.07,,
766,,,,,-35.8621,,,,,,,,,,,,,-35.75,,,-34.76,,
765,,,,,-36.5894,,,,,,,,,,,,,-36.67,,,-35.88,,
764,,,,,-35.9411,,,,,,,,,,,,,-35.59,,,-34.98,,
763,,,,,-35.19,,,,,,,,,,,,,-35.01,,,-34.94,,
762,,,,,-34.1125,,,,,,,,,,,,,-36.5,,,-33.42,,
761,,,,,-33.4913,,,,,,,,,,,,,-36.2,,,-33.67,,
760,,,,,-33.5503,,,,,,,,,,,,,-34.3,,,-35.48,,
759,,,,,-33.5215,,,,,,,,,,,,,-34.47,,,-33.69,,
758,,,,,-33.8143,,,,,,,,,,,,,-34.57,,,-32.27,,
757,,,,,-34.2461,,,,,,,,,,,,,-36.61,,,-33.03,,
756,,,,,-34.7083,,,,,,,,,,,,,-35.53,,,-35.99,,
755,,,,,-35.4693,,,,,,,,,,,,,-37.02,,,-35.8,,
754,,,,,-36.4293,,,,,,,,,,,,,-35.71,,,-34.9,,
753,,,,,-36.3984,,,,,,,,,,,,,-35.6,,,-35.47,,
752,,,,,,,,,,,,,,,,,,-37.24,,,-33.07,,
751,,,,,,,,,,,,,,,,,,-35.23,,,-36.12,,
750,,,,,,,,,,,,,,,,,,-35.56,,,-32.57,,
749,,,,,,,,,,,,,,,,,,-34.62,,,-35.2,,
748,,,,,,,,,,,,,,,,,,-34.63,,,-36.17,,
747,,,,,,,,,,,,,,,,,,-35.27,,,-33.68,,
746,,,,,,,,,,,,,,,,,,-34.82,,,-33.27,,
745,,,,,,,,,,,,,,,,,,-34.22,,,-34.43,,
744,,,,,,,,,,,,,,,,,,-33.89,,,-34.41,,
743,,,,,,,,,,,,,,,,,,-34.7,,,-34.46,,
742,,,,,,,,,,,,,,,,,,-34.32,,,-34.69,,
741,,,,,,,,,,,,,,,,,,-34.02,,,-33.54,,
740,,,,,,,,,,,,,,,,,,-35.24,,,-35.78,,
739,,,,,,,,,,,,,,,,,,-36.66,,,-34.67,,
738,,,,,,,,,,,,,,,,,,-37.32,,,-36.99,,
737,,,,,,,,,,,,,,,,,,-36.87,,,-36.54,,
736,,,,,,,,,,,,,,,,,,-35.44,,,-37.02,,
735,,,,,,,,,,,,,,,,,,-36.23,,,-35.54,,
734,,,,,,,,,,,,,,,,,,-35.27,,,-35.36,,
733,,,,,,,,,,,,,,,,,,-35.04,,,-33.43,,
732,,,,,,,,,,,,,,,,,,-35.07,,,-34.23,,
731,,,,,,,,,,,,,,,,,,-33.3,,,-34.53,,
730,,,,,,,,,,,,,,,,,,-34.3,,,-35.85,,
729,,,,,,,,,,,,,,,,,,-34.5,,,-34.09,,
728,,,,,,,,,,,,,,,,,,-34.41,,,-36.27,,
727,,,,,,,,,,,,,,,,,,-33.5,,,-33.87,,
726,,,,,,,,,,,,,,,,,,-35.81,,,-35.31,,
725,,,,,,,,,,,,,,,,,,-35.97,,,-34.2,,
724,,,,,,,,,,,,,,,,,,-35.52,,,-34.8,,
723,,,,,,,,,,,,,,,,,,-36.16,,,-35.5,,
722,,,,,,,,,,,,,,,,,,-36.23,,,-35.67,,
721,,,,,,,,,,,,,,,,,,-36.1,,,-35.56,,
720,,,,,,,,,,,,,,,,,,-35.69,,,-35.25,,
719,,,,,,,,,,,,,,,,,,-34,,,-33.3,,
718,,,,,,,,,,,,,,,,,,-34.32,,,-34.69,,
717,,,,,,,,,,,,,,,,,,-36.88,,,-34.93,,
716,,,,,,,,,,,,,,,,,,-34.9,,,-32.32,,
715,,,,,,,,,,,,,,,,,,-34.03,,,-34.39,,
714,,,,,,,,,,,,,,,,,,-36.08,,,-33.94,,
713,,,,,,,,,,,,,,,,,,-36.29,,,-36.17,,
712,,,,,,,,,,,,,,,,,,-35.2,,,-33.79,,
711,,,,,,,,,,,,,,,,,,-35,,,-33.1,,
710,,,,,,,,,,,,,,,,,,-35.95,,,-35.25,,
709,,,,,,,,,,,,,,,,,,-35.89,,,-34.67,,
708,,,,,,,,,,,,,,,,,,-35.59,,,-37.09,,
707,,,,,,,,,,,,,,,,,,-34.73,,,-35.53,,
706,,,,,,,,,,,,,,,,,,-34.12,,,-35.42,,
705,,,,,,,,,,,,,,,,,,-36.04,,,-36.01,,
704,,,,,,,,,,,,,,,,,,-35.38,,,-36.03,,
703,,,,,,,,,,,,,,,,,,-35.24,,,-35.25,,
702,,,,,,,,,,,,,,,,,,-35.95,,,-36.32,,
701,,,,,,,,,,,,,,,,,,-35.3,,,-35.09,,
700,,,,,,,,,,,,,,,,,,-35.91,,,-35.83,,
699,,,,,,,,,,,,,,,,,,-36.66,,,-38.1,,
698,,,,,,,,,,,,,,,,,,-35.17,,,-36.43,,
697,,,,,,,,,,,,,,,,,,-34.92,,,-35.27,,
696,,,,,,,,,,,,,,,,,,-34.64,,,-34.01,,
695,,,,,,,,,,,,,,,,,,-36.01,,,-36.63,,
