Year,TempAnomaly
1850,-0.7122394273838114
1851,-0.03983218073690448
1852,-0.42337062828140226
1853,-0.3642747258149894
1854,-0.20634742780657625
1855,-0.6572734745431617
1856,-0.6170580860053936
1857,-0.5162823549369903
1858,-0.12117649195260333
1859,-0.37735611387477597
1860,-0.6924069808144911
1861,-0.4472106654372795
1862,-1.2109298736954002
1863,-0.6048943695548631
1864,-0.5279519175462501
1865,-0.8779147053720112
1866,-0.9125237719666637
1867,-1.0971265549235114
1868,-0.5695467698507917
1869,-0.27040393673814717
1870,-0.5535014122431319
1871,-0.9055263425488697
1872,-0.40035255222627886
1873,-0.6009073620414023
1874,-0.097563469679405
1875,-0.6323531754540569
1876,-0.6937331341393513
1877,-0.46182626816763644
1878,0.03847629004290614
1879,-0.6372813173493161
1880,-0.49802790197936053
1881,-0.8188307365797179
1882,-0.9320941753589701
1883,-0.3149589053689427
1884,-1.0075593392059623
1885,-1.2049335610818268
1886,-0.9235788792216522
1887,-0.9026112749040841
1888,-1.0000033888167292
1889,-0.312689888373988
1890,-0.6347096927089501
1891,-0.775736465940706
1892,-1.0101503286685138
1893,-0.6698329291411977
1894,-0.4460655018475543
1895,-0.7109262121559666
1896,-0.529684524837093
1897,-0.34249962699595127
1898,-0.7007782749569575
1899,-0.8408365360590183
1900,-0.590352288037231
1901,-0.38701599424222105
1902,-1.1609529643413066
1903,-0.3709116457509804
1904,-0.474222885628314
1905,-0.28635588170504384
1906,-0.11640488696827386
1907,-0.7103493049697305
1908,-0.3686912961318147
1909,-0.5785239800995463
1910,-0.4851342616364055
1911,-0.22524081753823275
1912,-0.8557494366319541
1913,-0.6386593292581115
1914,-0.44028817697708844
1915,-0.518339534502388
1916,-0.5555276740666459
1917,-1.0662417896090548
1918,-0.9349298529919681
1919,-0.7053643333550434
1920,-0.1670999464690476
1921,-0.040112978393037686
1922,-0.3628320201833457
1923,0.020426036634904218
1924,0.17307458570703788
1925,-0.16988589606089477
1926,0.3024517466075158
1927,0.0367430257939882
1928,0.40850954645416376
1929,-0.20468660876478512
1930,0.28818528496439016
1931,0.3413841266813015
1932,0.34945905024756907
1933,-0.29146266060073506
1934,0.6506161477829887
1935,0.25510953251168905
1936,0.23553876096294565
1937,0.9600874796067659
1938,1.121163174824125
1939,0.5048890639051541
1940,0.7455734371114712
1941,-0.11465571094752655
1942,0.3771462406921201
1943,1.1378528679006297
1944,0.9933695509227837
1945,0.4525084077253454
1946,-0.10093389964961855
1947,0.772542054605996
1948,0.20122580169964138
1949,0.20006540496823455
1950,0.10616855026717224
1951,0.13773372113950538
1952,0.17044987644161913
1953,0.8265393992610324
1954,0.6557533183139388
1955,-0.22794840250318252
1956,-0.09536149418573266
1957,0.09267754791801365
1958,-0.1615411553405872
1959,0.47029307628134775
1960,0.3292523062894871
1961,-0.050722415385134036
1962,0.47669818249540846
1963,-0.07962021302468235
1964,-0.6330297391333002
1965,-0.2987253531397863
1966,-0.7433278039880814
1967,0.39755892321283737
1968,-0.24125663551107746
1969,-0.1803658673981636
1970,-0.20330259614817442
1971,-0.11029673163833474
1972,-0.4444142939457458
1973,0.1485660552217999
1974,-0.24797586393085946
1975,0.12429013372759817
1976,-0.09658536191337226
1977,0.1726059801897862
1978,-0.1139875861379826
1979,-0.5979359809801404
1980,0.261645810139707
1981,1.0591729916884778
1982,-0.3609984262189039
1983,0.1719194793477356
1984,0.12562953700488952
1985,0.23722037210582422
1986,0.017092954521631114
1987,-0.32301282709327667
1988,0.6159036271212861
1989,0.380168350793393
1990,0.5954519301784832
1991,0.7601697594368972
1992,-0.11769293383067696
1993,0.5528124338953088
1994,0.2913264893228086
1995,1.3159547091818773
1996,0.7285726446492627
1997,0.7719106419101031
1998,0.7591745574546295
1999,0.44727033370174535
2000,0.9361343314008908
2001,0.9888133763779231
2002,1.1884217920671352
2003,1.496806709111904
2004,0.5872739428816411
2005,1.8740687578211055
2006,1.5595073726948445
2007,1.9695816826940042
2008,1.46249578401894
2009,1.2154159064159096
2010,1.982716310709101
2011,2.0956082695461067
2012,1.8587965975455927
2013,1.3883271218178175
2014,1.8811691242064155
2015,1.89846003042488
2016,2.8392832314121272
2017,2.275561236990753
2018,1.9410800984634895
2019,2.5249073656077323
2020,2.7113638345286657
2021,2.2058181040998215
