Year,B18_12,B21_12,B23_12,B26_12,NGRIP_12,B16,B18,B21,B26,B29,NEEM
1293,,,,,,,76,,,,
1292,,,,,,,85,,,,
1291,,,,,,,103,,,,
1290,,,,,,,90,,,,
1289,,,,,,,70,,,,
1288,,,,,,,67,,,,
1287,,,,,,,69,,,,
1286,,,,,,,105,,,,
1285,,,,,,,52,,,,
1284,,,,,,,60,,,,
1283,,,,,,,86,,,,
1282,,,,,,,85,,,,
1281,,,,,,,75,,,,
1280,,,,,,,52,,,,
1279,,,,,,,42,,,,
1278,,,,,,,82,,,,
1277,,,,,,,123,,,,
1276,,,,,,,64,,,,
1275,,,,,,,102,,,,
1274,,,,,,,77,,,,
1273,,,,,,,48,,,,
1272,,,,,,,60,,,,
1271,,,,,,,50,,,,
1270,,,,,,,68,,,,
1269,,,,,,,87,,,,
1268,,,,,,,59,,,,
1267,,,,,,,81,,,,
1266,,,,,,,59,,,,
1265,,,,,,,55,,,,
1264,,,,,,,58,,,,
1263,,,,,,,61,,,,
1262,,,,,,,48,,,,
1261,,,,,,,77,,,,
1260,,,,,,,144,,,,
1259,,,,,,,91,,,,
1258,,,,,,,81,,,,
1257,,,,,,,87,,,,
1256,,,,,,,43,,,,
1255,,,,,,,78,,,,
1254,,,,,,,60,,,,
1253,,,,,,,82,,,,
1252,,,,,,,100,,,,
1251,,,,,,,77,,,,
1250,,,,,,,82,,,,
1249,,,,,,,76,,,,
1248,,,,,,,59,,,,
1247,,,,,,,101,,,,
1246,,,,,,,105,,,,
1245,,,,,,,55,,,,
1244,,,,,,,89,,,,
1243,,,,,,,87,,,,
1242,,,,,,,61,,,,
1241,,,,,,,93,,,,
1240,,,,,,,76,,,,
1239,,,,,,,71,,,,
1238,,,,,,,44,,,,
1237,,,,,,,41,,,,
1236,,,,,,,62,,,,
1235,,,,,,,100,,,,
1234,,,,,,,88,,,,
1233,,,,,,,52,,,,
1232,,,,,,,87,,,,
1231,,,,,,,58,,,,
1230,,,,,,,72,,,,
1229,,,,,,,43,,,,
1228,,,,,,,66,,,,
1227,,,,,,,95,,,,
1226,,,,,,,91,,,,
1225,,,,,,,129,,,,
1224,,,,,,,160,,,,
1223,,,,,,,170,,,,
1222,,,,,,,98,,,,
1221,,,,,,,125,,,,
1220,,,,,,,64,,,,
1219,,,,,,,74,,,,
1218,,,,,,,90,,,,
1217,,,,,,,71,,,,
1216,,,,,,,111,,,,
1215,,,,,,,68,,,,
1214,,,,,,,118,,,,
1213,,,,,,,122,,,,
1212,,,,,,,90,,,,
1211,,,,,,,123,,,,
1210,,,,,,,143,,,,
1209,,,,,,,101,,,,
1208,,,,,,,90,,,,
1207,,,,,,,135,,,,
1206,,,,,,,104,,,,
1205,,,,,,,99,,,,
1204,,,,,,,45,,,,
1203,,,,,,,59,,,,
1202,,,,,,,78,,,,
1201,,,,,,,121,,,,
1200,,,,,,,149,,,,
1199,,,,,,,52,,,,
1198,,,,,,,160,,,,
1197,,,,,,,56,,,,
1196,,,,,,,92,,,,
1195,,,,,,,74,,,,
1194,,,,,,,112,,,,
1193,,,,,,,85,,,,
1192,,,,,,,100,,,,
1191,,,,,,,79,,,,
1190,,,,,,,49,,,,
1189,,,,,,,81,,,,
1188,,,,,,,89,,,,
1187,,,,,,,83,,,,
1186,,,,,,,56,,,,
1185,,,,,,,106,,,,
1184,,,,,,,100,,,,
1183,,,,,,,121,,,,
1182,,,,,,,76,,,,
1181,,,,,,,79,,,,
1180,,,,,,,110,,,,
1179,,,,,,,118,,,,
1178,,,,,,,105,,,,
1177,,,,,,,146,,,,
1176,,,,,,,89,,,,
1175,,,,,,,92,,,,
1174,,,,,,,56,,,,
1173,,,,,,,111,,,,
1172,,,,,,,77,,,,
1171,,,,,,,81,,,,
1170,,,,,,,100,,,,
1169,,,,,,,75,,,,
1168,,,,,,,119,,,,
1167,,,,,,,100,,,,
1166,,,,,,,123,,,,
1165,,,,,,,89,,,,
1164,,,,,,,105,,,,
1163,,,,,,,93,,,,
1162,,,,,,,66,,,,
1161,,,,,,,78,,,,
1160,,,,,,,100,,,,
1159,,,,,,,111,,,,
1158,,,,,,,76,,,,
1157,,,,,,,55,,,,
1156,,,,,,,112,,,,
1155,,,,,,,63,,,,
1154,,,,,,,58,,,,
1153,,,,,,,64,,,,
1152,,,,,,,74,,,,
1151,,,,,,,98,,,,
1150,,,,,,,78,,,,
1149,,,,,,,67,,,,
1148,,,,,,,110,,,,
1147,,,,,,,82,,,,
1146,,,,,,,88,,,,
1145,,,,,,,60,,,,
1144,,,,,,,63,,,,
1143,,,,,,,64,,,,
1142,,,,,,,120,,,,
1141,,,,,,,64,,,,
1140,,,,,,,66,,,,
1139,,,,,,,71,,,,
1138,,,,,,,106,,,,
1137,,,,,,,104,,,,
1136,,,,,,,100,,,,
1135,,,,,,,106,,,,
1134,,,,,,,43,,,,
1133,,,,,,,63,,,,
1132,,,,,,,67,,,,
1131,,,,,,,107,,,,
1130,,,,,,,99,,,,
1129,,,,,,,69,,,,
1128,,,,,,,84,,,,
1127,,,,,,,97,,,,
1126,,,,,,,85,,,,
1125,,,,,,,75,,,,
1124,,,,,,,93,,,,
1123,,,,,,,74,,,,
1122,,,,,,,114,,,,
1121,,,,,,,66,,,,
1120,,,,,,,105,,,,
1119,,,,,,,78,,,,
1118,,,,,,,45,,,,
1117,,,,,,,60,,,,
1116,,,,,,,51,,,,
1115,,,,,,,68,,,,
1114,,,,,,,85,,,,
1113,,,,,,,82,,,,
1112,,,,,,,154,,,,
1111,,,,,,,143,,,,
1110,,,,,,,81,,,,
1109,,,,,,,67,,,,
1108,,,,,,,69,,,,
1107,,,,,,,66,,,,
1106,,,,,,,52,,,,
1105,,,,,,,64,,,,
1104,,,,,,,81,,,,
1103,,,,,,,93,,,,
1102,,,,,,,84,,,,
1101,,,,,,,97,,,,
1100,,,,,,,133,,,,
1099,,,,,,,142,,,,
1098,,,,,,,63,,,,
1097,,,,,,,108,,,,
1096,,,,,,,92,,,,
1095,,,,,,,96,,,,
1094,,,,,,,120,,,,
1093,,,,,,,85,,,,
1092,,,,,,,93,,,,
1091,,,,,,,73,,,,
1090,,,,,,,89,,,,
1089,,,,,,,44,,,,
1088,,,,,,,44,,,,
1087,,,,,,,71,,,,
1086,,,,,,,55,,,,
1085,,,,,,,62,,,,
1084,,,,,,,59,,,,
1083,,,,,,,113,,,,
1082,,,,,,,124,,,,
1081,,,,,,,74,,,,
1080,,,,,,,54,,,,
1079,,,,,,,93,,,,
1078,,,,,,,99,,,,
1077,,,,,,,71,,,,
1076,,,,,,,55,,,,
1075,,,,,,,111,,,,
1074,,,,,,,78,,,,
1073,,,,,,,128,,,,
1072,,,,,,,112,,,,
1071,,,,,,,82,,,,
1070,,,,,,,129,,,,
1069,,,,,,,117,,,,
1068,,,,,,,86,,,,
1067,,,,,,,113,,,,
1066,,,,,,,79,,,,
1065,,,,,,,73,,,,
1064,,,,,,,119,,,,
1063,,,,,,,81,,,,
1062,,,,,,,67,,,,
1061,,,,,,,74,,,,
1060,,,,,,,145,,,,
1059,,,,,,,79,,,,
1058,,,,,,,78,,,,
1057,,,,,,,82,,,,
1056,,,,,,,108,,,,
1055,,,,,,,111,,,,
1054,,,,,,,125,,,,
1053,,,,,,,96,,,,
1052,,,,,,,82,,,,
1051,,,,,,,93,,,,
1050,,,,,,,67,,,,
1049,,,,,,,56,,,,
1048,,,,,,,71,,,,
1047,,,,,,,140,,,,
1046,,,,,,,75,,,,
1045,,,,,,,110,,,,
1044,,,,,,,88,,,,
1043,,,,,,,78,,,,
1042,,,,,,,81,,,,
1041,,,,,,,99,,,,
1040,,,,,,,115,,,,
1039,,,,,,,88,,,,
1038,,,,,,,111,,,,
1037,,,,,,,147,,,,
1036,,,,,,,63,,,,
1035,,,,,,,129,,,,
1034,,,,,,,91,,,,
1033,,,,,,,77,,,,
1032,,,,,,,113,,,,
1031,,,,,,,113,,,,
1030,,,,,,,143,,,,
1029,,,,,,,195,,,,
1028,,,,,,,172,,,,
1027,,,,,,,196,,,,
1026,,,,,,,144,,,,
1025,,,,,,,124,,,,
1024,,,,,,,141,,,,
1023,,,,,,,139,,,,
1022,,,,,,,149,,,,
1021,,,,,,,140,,,,
1020,,,,,,,150,,,,
1019,,,,,,,196,,,,
1018,,,,,,,155,,,,
1017,,,,,,,160,,,,
1016,,,,,,,91,,,,
1015,,,,,,,210,,,,
1014,,,,,,,98,,,,
1013,,,,,,,181,,,,
1012,,,,,,,190,,,,
1011,,,,,,,161,,,,
1010,,,,,,,221,,,,
1009,,,,,,,117,,,,
1008,,,,,,,65,,,,
1007,,,,,,,81,,,,
1006,,,,,,,97,,,,
1005,,,,,,,151,,,,
1004,,,,,,,78,,,,
1003,,,,,,,145,,,,
1002,,,,,,,110,,,,
1001,,,,,,,119,,,,
1000,,,,,,,111,,,,
999,,,,,,,144,,,,
998,,,,,,,53,,,,
997,,,,,,,53,,,,
996,,,,,,,52,,,,
995,,,,,,,70,,,,
994,,,,,,,51,,,,
993,,,,,,,57,,,,
992,,,,,,,64,,,,
991,,,,,,,93,,,,
990,,,,,,,86,,,,
989,,,,,,,96,,,,
988,,,,,,,132,,,,
987,,,,,,,91,,,,
986,,,,,,,80,,,,
985,,,,,,,127,,,,
984,,,,,,,99,,,,
983,,,,,,,110,,,,
982,,,,,,,114,,,,
981,,,,,,,58,,,,
980,,,,,,,107,,,,
979,,,,,,,109,,,,
978,,,,,,,62,,,,
977,,,,,,,111,,,,
976,,,,,,,77,,,,
975,,,,,,,95,,,,
974,,,,,,,73,,,,
973,,,,,,,78,,,,
972,,,,,,,91,,,,
971,,,,,,,151,,,,
970,,,,,,,96,,,,
969,,,,,,,67,,,,
968,,,,,,,106,,,,
967,,,,,,,74,,,,
966,,,,,,,90,,,,
965,,,,,,,85,,,,
964,,,,,,,98,,,,
963,,,,,,,129,,,,
962,,,,,,,135,,,,
961,,,,,,,180,,,,
960,,,,,,,143,,,,
959,,,,,,,119,,,,
958,,,,,,,90,,,,
957,,,,,,,109,,,,
956,,,,,,,105,,,,
955,,,,,,,79,,,,
954,,,,,,,65,,,,
953,,,,,,,98,,,,
952,,,,,,,180,,,,
951,,,,,,,109,,,,
950,,,,,,,120,,,,
949,,,,,,,57,,,,
948,,,,,,,68,,,,
947,,,,,,,70,,,,
946,,,,,,,65,,,,
945,,,,,,,49,,,,
944,,,,,,,95,,,,
943,,,,,,,77,,,,
942,,,,,,,81,,,,
941,,,,,,,99,,,,
940,,,,,,,98,,,,
939,,,,,,,88,,,,
938,,,,,,,58,,,,
937,,,,,,,66,,,,
936,,,,,,,70,,,,
935,,,,,,,77,,,,
934,,,,,,,114,,,,
933,,,,,,,131,,,,
932,,,,,,,137,,,,
931,,,,,,,91,,,,
930,,,,,,,62,,,,
929,,,,,,,62,,,,
928,,,,,,,91,,,,
927,,,,,,,93,,,,
926,,,,,,,121,,,,
925,,,,,,,87,,,,
924,,,,,,,69,,,,
923,,,,,,,117,,,,
922,,,,,,,117,,,,
921,,,,,,,67,,,,
920,,,,,,,106,,,,
919,,,,,,,115,,,,
918,,,,,,,100,,,,
917,,,,,,,100,,,,
916,,,,,,,100,,,,
915,,,,,,,44,,,,
914,,,,,,,58,,,,
913,,,,,,,84,,,,
912,,,,,,,106,,,,
911,,,,,,,92,,,,
910,,,,,,,84,,,,
909,,,,,,,69,,,,
908,,,,,,,84,,,,
907,,,,,,,106,,,,
906,,,,,,,86,,,,
905,,,,,,,98,,,,
904,,,,,,,114,,,,
903,,,,,,,75,,,,
902,,,,,,,87,,,,
901,,,,,,,69,,,,
900,,,,,,,58,,,,
899,,,,,,,58,,,,
898,,,,,,,84,,,,
897,,,,,,,136,,,,
896,,,,,,,142,,,,
895,,,,,,,115,,,,
894,,,,,,,86,,,,
893,,,,,,,129,,,,
892,,,,,,,89,,,,
891,,,,,,,106,,,,
890,,,,,,,103,,,,
889,,,,,,,50,,,,
888,,,,,,,104,,,,
887,,,,,,,67,,,,
886,,,,,,,94,,,,
885,,,,,,,111,,,,
884,,,,,,,64,,,,
883,,,,,,,89,,,,
882,,,,,,,58,,,,
881,,,,,,,67,,,,
880,,,,,,,84,,,,
879,,,,,,,117,,,,
878,,,,,,,139,,,,
877,,,,,,,98,,,,
876,,,,,,,86,,,,
875,,,,,,,142,,,,
874,,,,,,,98,,,,
873,,,,,,,84,,,,
872,,,,,,,92,,,,
871,,,,,,,136,,,,
