Year,B18_12,B21_12,B23_12,B26_12,NGRIP_12,B16,B18,B21,B26,B29,NEEM
1875,97,,,,,110,64,92,171,143,237
1874,94,,,,,119,119,64,184,179,224
1873,123,,,,,101,83,119,177,165,165
1872,109,,,,,138,110,101,223,118,215
1871,66,,,,,129,101,64,102,88,211
1870,82,,,,,165,83,74,156,171,202
1869,107,,,,,101,202,147,231,109,202
1868,65,,,,,119,46,129,189,125,175
1867,79,,,,,119,129,83,162,152,208
1866,148,,,,,138,138,129,110,165,222
1865,69,,,,,83,129,92,193,119,190
1864,,,,,,165,55,92,184,134,185
1863,,,,,,110,74,74,148,151,172
1862,,,,,,138,119,101,193,156,158
1861,,,,,,129,101,55,219,122,242
1860,,,,,,175,92,92,177,177,219
1859,,,,,,119,92,83,224,160,205
1858,,,,,,129,110,74,234,124,201
1857,,,,,,119,83,83,252,156,258
1856,,,,,,110,101,101,119,142,239
1855,,,,,,165,92,110,179,158,197
1854,,,,,,92,37,119,159,135,165
1853,,,,,,175,101,119,206,146,220
1852,,,,,,119,129,64,133,188,217
1851,,,,,,129,110,119,206,151,189
1850,,,,,,165,101,119,268,116,189
1849,,,,,,92,129,101,146,164,189
1848,,,,,,165,92,119,162,149,218
1847,,,,,,138,83,74,215,112,199
1846,,,,,,119,138,119,183,146,180
1845,,,,,,138,64,92,136,178,181
1844,,,,,,110,119,83,143,112,190
1843,,,,,,138,92,92,196,135,210
1842,,,,,,64,138,83,148,135,181
1841,,,,,,119,83,110,147,109,143
1840,,,,,,129,119,55,110,110,182
1839,,,,,,156,101,110,239,145,182
1838,,,,,,110,64,184,145,212,173
1837,,,,,,119,101,138,118,108,163
1836,,,,,,156,147,64,199,112,221
1835,,,,,,110,101,64,130,120,173
1834,,,,,,138,138,165,164,178,222
1833,,,,,,119,92,156,131,140,203
1832,,,,,,175,129,129,130,130,155
1831,,,,,,83,101,138,149,130,174
1830,,,,,,184,74,138,179,143,213
1829,,,,,,119,101,74,200,195,242
1828,,,,,,119,64,119,139,123,214
1827,,,,,,193,129,74,199,144,224
1826,,,,,,147,119,83,201,185,185
1825,,,,,,156,110,101,159,157,195
1824,,,,,,92,156,92,172,119,195
1823,,,,,,138,64,83,174,132,195
1822,,,,,,156,55,92,139,135,186
1821,,,,,,119,119,119,173,105,196
1820,,,,,,138,156,119,117,173,196
1819,,,,,,119,101,129,110,98,196
1818,,,,,,138,83,74,197,111,157
1817,,,,,,101,147,64,154,102,128
1816,,,,,,110,74,64,231,142,167
1815,,,,,,184,55,92,133,95,148
1814,,,,,,119,101,64,176,149,207
1813,,,,,,83,83,64,199,118,197
1812,,,,,,147,101,129,163,150,257
1811,,,,,,129,129,101,185,182,178
1810,,,,,,138,110,74,128,151,208
1809,,,,,,110,92,147,212,123,169
1808,,,,,,138,129,119,208,138,209
1807,,,,,,165,110,175,186,183,269
1806,,,,,,110,101,119,196,108,239
1805,,,,,,110,55,119,147,142,229
1804,,,,,,156,83,64,214,188,250
1803,,,,,,165,92,119,248,209,250
1802,,,,,,119,138,147,144,135,170
1801,,,,,,129,74,83,166,142,221
1800,,,,,,129,119,64,201,117,171
1799,,,,,,156,110,74,87,175,191
1798,,,,,,119,92,110,187,95,171
1797,,,,,,129,64,101,165,151,211
1796,,,,,,119,83,101,152,152,161
1795,,,,,,156,64,92,146,144,192
1794,,,,,,138,55,147,129,156,242
1793,,,,,,138,83,83,101,124,212
1792,,,,,,101,74,92,161,147,202
1791,,,,,,138,55,74,110,175,172
1790,,,,,,119,129,129,167,88,182
1789,,,,,,101,101,92,170,144,213
1788,,,,,,138,147,74,162,153,234
1787,,,,,,129,138,202,225,167,183
1786,,,,,,138,92,83,204,170,183
1785,,,,,,119,129,83,162,177,306
1784,,,,,,147,74,64,243,185,184
1783,,,,,,74,110,64,197,94,184
1782,,,,,,83,83,74,241,119,184
1781,,,,,,92,64,110,177,127,215
1780,,,,,,147,119,110,192,108,205
1779,,,,,,138,101,64,158,161,205
1778,,,,,,129,138,110,111,130,185
1777,,,,,,119,119,147,250,111,206
1776,,,,,,119,83,55,109,128,206
