B21_2012 depth (m) center	B21_2012 d18O (permil)
5.153105057	-32.833252
5.173513217	-32.339752
5.193921377	-32.418499
5.214329537	-32.665749
5.234737697	-32.70425
5.255145857	-33.035252
5.275554017	-33.132
5.295962177	-33.18475
5.316370337	-33.315002
5.336778497	-33.357002
5.357186657	-33.649502
5.377594817	-33.591499
5.398002977	-33.951752
5.418411137	-34.030502
5.438819297	-34.5145
5.459227457	-34.595749
5.479635617	-35.223999
5.500043777	-35.288002
5.520451937	-35.675999
5.540860097	-36.2155
5.561268257	-36.321251
5.581676417	-36.547501
5.602084577	-36.597252
5.622492737	-36.360249
5.642900897	-36.335999
5.663309057	-35.883999
5.683717217	-35.375748
5.704125377	-34.814499
5.724533537	-34.075752
5.744941697	-33.375751
5.765349857	-32.619999
5.785758017	-32.092251
5.806166177	-31.774
5.826574337	-31.05575
5.846982497	-31.12575
5.867390657	-30.8165
5.887798817	-30.52475
5.908206977	-30.61825
5.928615137	-30.410749
5.949023297	-30.35375
5.969431457	-29.984749
5.989839617	-30.227501
6.009839617	-29.883499
6.029839617	-29.9345
6.049839617	-29.688999
6.069839617	-29.896999
6.089839617	-29.783249
6.109839617	-29.884001
6.129839617	-30.130001
6.149839617	-30.324501
6.169839617	-30.80575
6.189839617	-31.3165
6.209839617	-31.693501
6.229839617	-32.011002
6.249839617	-32.440002
6.269839617	-33.001751
6.289839617	-32.990749
6.309839617	-33.372749
6.329839617	-33.554001
6.349839617	-34.077251
6.369839617	-34.253998
6.389839617	-34.211998
6.409839617	-34.2565
6.429839617	-33.866501
6.449839617	-33.673
6.469839617	-33.572998
6.489839617	-33.308502
6.509839617	-33.16975
6.529839617	-33.0425
6.549839617	-32.732002
6.569839617	-32.60025
6.589839617	-32.50975
6.609839617	-32.833
6.629839617	-33.130749
6.649839617	-33.199749
6.669839617	-33.657749
6.689839617	-33.85675
6.709839617	-34.341751
6.729839617	-34.845749
6.749839617	-35.119251
6.769839617	-35.355999
6.789839617	-35.487
6.809839617	-35.740997
6.829839617	-35.563251
6.849839617	-35.2635
6.869839617	-35.299
6.889839617	-35.089249
6.909839617	-34.9035
6.929839617	-34.985752
6.949839617	-34.761002
6.969839617	-34.706749
6.989839617	-34.905998
7.009839617	-35.8265
7.029839617	-36.060249
7.049839617	-36.19775
7.069839617	-36.667
7.089839617	-37.029999
7.109839617	-37.528252
7.129839617	-37.911751
7.149839617	-38.19725
7.169839617	-38.494499
7.189839617	-38.265751
7.209839617	-38.262249
7.229839617	-38.210251
7.249839617	-37.943501
7.269839617	-37.641251
7.289839617	-37.335251
7.309839617	-37.109001
7.329839617	-37.020752
7.349839617	-36.896
7.369839617	-36.89925
7.389839617	-36.990501
7.409839617	-37.243248
7.429839617	-37.335251
7.449839617	-37.477753
7.469839617	-37.59325
7.489839617	-37.526001
