B26_2012 depth (m) center	B26_2012 d18O (permil)
5.175	-29.57
5.2	-28.96
5.225	-28.44
5.25	-28.23
5.275	-28.35
5.3	-28.43
5.325	-28.61
5.35	-28.72
5.375	-28.70
5.4	-28.77
5.425	-28.80
5.45	-28.93
5.475	-29.30
5.5	-29.85
5.525	-30.59
5.55	-31.31
5.575	-32.06
5.6	-32.76
5.625	-33.30
5.65	-33.58
5.675	-33.71
5.7	-33.55
5.725	-33.02
5.75	-32.41
5.775	-31.76
5.8	-31.03
5.825	-30.26
5.85	-29.62
5.875	-29.18
5.9	-28.62
5.925	-28.13
5.95	-27.71
5.975	-27.30
6	-27.08
6.025	-26.91
6.05	-27.26
6.075	-27.93
6.1	-28.71
6.125	-29.88
6.15	-31.11
6.175	-32.19
6.2	-32.83
6.225	-32.90
6.25	-32.41
6.275	-31.58
6.3	-31.03
6.325	-30.52
6.35	-30.23
6.375	-30.59
6.4	-31.42
6.425	-32.38
6.45	-33.61
6.475	-34.81
6.5	-36.06
6.525	-36.83
6.55	-36.89
6.575	-36.45
6.6	-35.81
6.625	-34.78
6.65	-33.83
6.675	-32.93
6.7	-32.07
6.725	-31.38
6.75	-30.83
6.775	-30.28
6.8	-30.09
6.825	-30.54
6.85	-31.19
6.875	-32.38
6.9	-33.76
6.925	-34.78
6.95	-35.62
6.975	-35.90
7	-35.87
7.025	-35.70
7.05	NaN
7.075	-35.07
7.1	-34.76
7.125	-34.07
7.15	-33.32
7.175	-32.60
7.2	-32.14
7.225	-31.97
7.25	-31.83
7.275	-32.20
7.3	-32.58
7.325	-33.22
7.35	-34.30
7.375	-35.10
7.4	-35.63
7.425	-36.15
7.45	-36.12
7.475	-35.90
7.5	-35.68
7.525	-35.35
7.55	-34.92
7.575	-34.28
7.6	-33.54
7.625	-32.81
7.65	-32.06
7.675	-31.56
7.7	-31.32
7.725	-31.42
7.75	-31.83
7.775	-32.50
7.8	-33.28
7.825	-34.22
7.85	-35.24
7.875	-35.99
7.9	-36.10
7.925	-35.54
7.95	-34.56
7.975	-33.15
8	-31.71
8.025	-30.59
8.05	-29.46
8.075	-28.93
8.1	-28.63
8.125	-28.61
8.15	-29.19
8.175	-29.67
8.2	-30.29
8.225	-31.04
8.25	-31.51
8.275	-32.02
8.3	-32.38
8.325	-32.55
8.35	-32.53
8.375	-32.44
8.4	-32.20
8.425	-31.81
8.45	-31.46
8.475	-31.06
8.5	-30.66
8.525	-30.41
8.55	-30.33
8.575	-30.40
8.6	-30.68
8.625	-31.02
8.65	-31.64
8.675	-32.24
8.7	-32.67
8.725	-32.83
8.75	-32.83
8.775	-32.18
8.8	-31.68
8.825	-31.08
8.85	-30.45
8.875	-29.90
8.9	-29.38
8.925	-29.01
8.95	-28.73
8.975	-28.54
9	-28.49
9.025	-28.57
9.05	-28.73
9.075	-28.90
9.1	-29.35
9.125	-29.79
9.15	-30.22
9.175	-30.56
9.2	-30.92
9.225	-31.30
9.25	-31.82
9.275	-32.30
9.3	-32.75
9.325	-33.47
9.35	-34.09
9.375	-34.75
9.4	-35.62
9.425	-36.50
9.45	-37.35
9.475	-37.91
9.5	-38.20
9.525	-38.14
9.55	-37.83
9.575	-37.17
9.6	-36.60
9.625	-36.00
9.65	-35.54
9.675	-35.53
9.7	-35.73
9.725	-36.13
9.75	-36.75
9.775	-37.33
9.8	-37.50
9.825	-37.33
9.85	-36.75
9.875	-35.77
9.9	-34.64
9.925	-33.91
9.95	-33.24
9.975	-33.30
10	-33.63
10.025	-33.38
10.05	-34.15
10.075	-34.39
10.1	-34.45
10.125	-34.27
10.15	-33.95
10.175	-33.44
10.2	-32.97
10.225	-32.34
10.25	-31.93
10.275	-31.55
10.3	-31.53
10.325	-31.78
10.35	-32.37
10.375	-33.19
10.4	-34.15
10.425	-35.03
10.45	-35.80
10.475	-36.71
10.5	-37.12
10.525	-37.21
10.55	-36.81
10.575	-35.88
10.6	-34.60
10.625	-33.30
10.65	-31.97
10.675	-31.07
10.7	-30.64
10.725	-30.70
10.75	-31.14
10.775	-31.73
10.8	-32.55
10.825	-33.87
10.85	-34.80
10.875	-35.48
10.9	-35.75
10.925	-35.57
10.95	-35.24
10.975	-34.58
11	-34.10
11.025	-33.51
11.05	-33.07
11.075	-33.09
11.1	-33.31
11.125	-33.72
11.15	-34.50
11.175	-35.22
11.2	-35.72
11.225	-35.36
11.25	-35.28
11.275	-34.50
11.3	-33.90
11.325	-33.11
11.35	-32.63
11.375	-32.26
11.4	-32.14
11.425	-32.29
11.45	-32.61
11.475	-32.75
11.5	-33.03
11.525	-33.24
11.55	-33.16
11.575	-32.96
11.6	-32.74
11.625	-32.04
11.65	-31.28
11.675	-30.52
11.7	-29.56
11.725	-28.72
11.75	-28.08
11.775	-27.78
11.8	-27.75
11.825	-28.10
11.85	-28.87
11.875	-29.74
11.9	-30.76
11.925	-31.74
11.95	-32.62
11.975	-33.22
12	-33.49
12.025	-33.52
12.05	-33.53
12.075	-33.49
12.1	-33.53
12.125	-33.89
12.15	-34.37
12.175	-34.91
12.2	-35.76
12.225	-36.30
12.25	-36.75
12.275	-36.78
12.3	-36.53
12.325	-36.22
12.35	-35.69
12.375	-35.11
12.4	-34.81
12.425	-34.86
12.45	-34.96
12.475	-35.40
12.5	-35.96
12.525	-36.38
12.55	-36.65
12.575	-36.66
12.6	-36.51
12.625	-36.39
12.65	-36.34
12.675	-36.37
12.7	-36.54
12.725	-36.72
12.75	-36.69
12.775	-36.61
12.8	-36.42
12.825	-35.84
12.85	-35.30
12.875	-34.64
12.9	-34.09
12.925	-33.75
12.95	-33.52
12.975	-33.69
13	-34.11
13.025	-34.81
13.05	-35.80
13.075	-36.68
13.1	-37.29
13.125	-37.50
13.15	-37.25
13.175	-36.67
13.2	-35.81
13.225	-34.70
13.25	-33.76
13.275	-32.86
13.3	-32.26
13.325	-31.98
13.35	-31.76
13.375	-32.01
13.4	-32.41
13.425	-32.88
13.45	-33.24
13.475	-33.64
13.5	-33.78
13.525	-33.52
13.55	-33.31
13.575	-33.22
13.6	-33.17
13.625	-33.40
13.65	-33.53
13.675	-34.00
13.7	-34.29
13.725	-34.50
13.75	-34.68
13.775	-34.91
13.8	-34.94
13.825	-34.75
13.85	-34.56
13.875	-34.20
13.9	-33.65
13.925	-33.13
13.95	-32.41
13.975	-31.70
14	-31.32
14.025	-31.18
14.05	-31.25
14.075	-31.57
14.1	-31.99
14.125	-32.58
14.15	-33.01
14.175	-33.29
14.2	-33.40
14.225	-33.34
14.25	-33.14
14.275	-32.92
14.3	-32.78
14.325	-32.66
14.35	-32.82
14.375	-33.10
14.4	-33.41
14.425	-33.85
14.45	-34.37
14.475	-34.45
14.5	-34.63
14.525	-34.62
14.55	-34.34
14.575	-34.02
14.6	-33.60
14.625	-33.24
14.65	-33.17
14.675	-33.20
14.7	-33.68
14.725	-34.18
14.75	-34.93
14.775	-35.65
14.8	-36.31
14.825	-36.70
14.85	-36.91
14.875	-36.52
14.9	-36.03
14.925	-35.08
14.95	-34.14
14.975	-33.30
15	-32.51
15.025	-31.84
15.05	-31.68
15.075	-31.69
15.1	-31.83
15.125	-32.43
15.15	-33.15
15.175	-33.92
15.2	-34.50
15.225	-34.80
15.25	-34.82
15.275	-34.62
15.3	-34.08
15.325	-33.46
15.35	-32.83
15.375	-32.37
15.4	-32.04
15.425	-31.85
15.45	-31.96
15.475	-32.23
15.5	-32.58
15.525	-32.81
15.55	-32.75
15.575	-32.56
15.6	-32.10
15.625	-31.54
15.65	-31.05
15.675	-30.34
15.7	-29.89
15.725	-29.55
15.75	-29.62
15.775	-29.87
15.8	-30.15
15.825	-30.79
15.85	-31.46
15.875	-32.34
15.9	-33.19
15.925	-33.88
15.95	-34.49
15.975	-34.76
16	-34.62
16.025	-34.23
16.05	-33.72
16.075	-33.10
16.1	-32.79
16.125	-32.35
16.15	-32.41
16.175	-32.65
16.2	-32.84
16.225	-33.16
16.25	-33.25
16.275	-33.11
16.3	-32.76
16.325	-32.52
16.35	-32.04
16.375	-31.36
16.4	-31.01
16.425	-30.83
16.45	-30.89
16.475	-31.30
16.5	-31.66
16.525	-32.36
16.55	-33.13
16.575	-33.83
16.6	-34.67
16.625	-35.21
16.65	-35.57
16.675	-35.53
16.7	-35.44
16.725	-35.10
16.75	-34.51
16.775	-34.23
16.8	-33.75
16.825	-33.32
16.85	-33.06
16.875	-33.11
16.9	-33.13
16.925	-33.21
16.95	-33.18
16.975	-33.08
17	-32.81
17.025	-32.52
17.05	-32.12
17.075	-31.97
17.1	-31.96
17.125	-32.22
17.15	-32.62
17.175	-32.94
17.2	-33.50
17.225	-33.87
17.25	-34.09
17.275	-34.08
17.3	-34.19
17.325	-33.76
17.35	-33.43
17.375	-33.04
17.4	-32.69
17.425	-32.46
17.45	-32.43
17.475	-32.55
17.5	-33.05
17.525	-33.71
17.55	-34.50
17.575	-35.29
17.6	-35.92
17.625	-36.52
17.65	-36.85
17.675	-36.92
17.7	-36.85
17.725	-36.27
17.75	-35.70
17.775	-34.76
17.8	-33.82
17.825	-33.21
17.85	-32.55
17.875	-32.04
17.9	-32.07
17.925	-32.17
17.95	-32.34
17.975	-32.88
18	-33.50
18.025	-34.10
18.05	-34.45
18.075	-34.53
18.1	-34.41
18.125	-34.12
18.15	-33.65
18.175	-33.15
18.2	-32.81
18.225	-32.56
18.25	-32.46
18.275	-32.55
18.3	-32.76
18.325	-33.35
18.35	-33.88
18.375	-34.22
18.4	-34.35
18.425	-34.32
18.45	-34.04
18.475	-33.57
18.5	-33.42
18.525	-33.15
18.55	-33.38
18.575	-33.73
18.6	-34.45
18.625	-35.20
18.65	-36.12
18.675	-36.66
18.7	-36.88
18.725	-36.84
18.75	-36.47
18.775	-35.86
18.8	-35.24
18.825	-34.76
18.85	-34.51
18.875	-34.29
18.9	-34.32
18.925	-34.52
18.95	-34.73
18.975	-34.99
19	-35.13
19.025	-35.33
19.05	-35.23
19.075	-35.23
19.1	-35.30
19.125	-35.19
19.15	-35.38
19.175	-35.52
19.2	-35.75
19.225	-35.85
19.25	-36.03
19.275	-36.20
19.3	-36.47
19.325	-36.62
19.35	-36.69
19.375	-36.85
19.4	-36.88
19.425	-36.72
19.45	-36.60
19.475	-36.42
19.5	-36.07
19.525	-35.61
19.55	-35.44
19.575	-35.17
19.6	-34.80
19.625	-34.71
19.65	-34.51
19.675	-34.24
19.7	-34.06
19.725	-33.97
19.75	-33.70
19.775	-33.73
19.8	-33.56
19.825	-33.48
19.85	-33.32
19.875	-33.06
19.9	-32.66
19.925	-32.24
19.95	-31.91
19.975	-31.40
20	-31.13
20.025	-30.87
20.05	-30.92
20.075	-31.25
20.1	-31.70
20.125	-32.24
20.15	-32.80
20.175	-33.15
20.2	-33.49
20.225	-33.62
20.25	-33.74
20.275	-33.61
20.3	-33.52
20.325	-33.62
20.35	-33.63
20.375	-33.65
20.4	-33.72
20.425	-33.72
20.45	-33.58
20.475	-33.35
20.5	-33.10
20.525	-33.15
20.55	-33.24
20.575	-33.43
20.6	-33.88
20.625	-34.16
20.65	-34.53
20.675	-35.11
20.7	-35.46
20.725	-35.49
20.75	-35.65
20.775	-35.41
20.8	-35.18
20.825	-34.93
20.85	-34.85
20.875	-34.85
20.9	-34.77
20.925	-34.89
20.95	-34.96
20.975	-35.01
21	-34.93
21.025	-34.85
21.05	-34.73
21.075	-34.60
21.1	-34.27
21.125	-33.98
21.15	-33.63
21.175	-33.41
21.2	-33.45
21.225	-33.37
21.25	-33.29
21.275	-33.35
21.3	-33.41
21.325	-33.39
21.35	-33.56
21.375	-33.53
21.4	-33.67
21.425	-33.69
21.45	-33.83
21.475	-33.88
21.5	-34.01
21.525	-34.21
21.55	-34.33
21.575	-34.76
21.6	-35.03
21.625	-35.21
21.65	-35.28
21.675	-35.19
21.7	-34.94
21.725	-34.43
21.75	-33.85
21.775	-33.33
21.8	-32.93
21.825	-32.56
21.85	-32.55
21.875	-32.95
21.9	-33.25
21.925	-33.82
21.95	-34.53
21.975	-35.05
22	-35.47
22.025	-35.58
22.05	-35.43
22.075	-34.85
22.1	-34.43
22.125	-34.09
22.15	-33.89
22.175	-33.79
22.2	-33.77
22.225	-34.01
22.25	-34.27
22.275	-34.36
22.3	-34.52
22.325	-34.49
22.35	-34.25
22.375	-33.59
22.4	-33.29
22.425	-32.79
22.45	-32.22
22.475	-32.02
22.5	-31.84
22.525	-31.75
22.55	-31.84
22.575	-32.04
22.6	-32.16
22.625	-32.32
22.65	-32.43
22.675	-32.46
22.7	-32.78
22.725	-32.97
22.75	-33.35
22.775	-33.72
22.8	-34.11
22.825	-34.46
22.85	-34.67
22.875	-34.38
22.9	-34.18
22.925	-33.90
22.95	-33.49
22.975	-33.09
23	-33.19
23.025	-32.95
23.05	-33.22
23.075	-33.59
23.1	-33.77
23.125	-34.23
23.15	-34.48
23.175	-34.46
23.2	-34.46
23.225	-34.33
23.25	-34.21
23.275	-34.16
23.3	-34.09
23.325	-34.37
23.35	-34.85
23.375	-35.46
23.4	-36.26
23.425	-36.71
23.45	-37.20
23.475	-37.16
23.5	-37.08
23.525	-36.99
23.55	-36.57
23.575	-36.07
23.6	-35.81
23.625	-35.34
23.65	-34.99
23.675	-34.94
23.7	-35.06
23.725	-35.33
23.75	-35.53
23.775	-35.63
23.8	-35.67
23.825	-35.42
23.85	-35.02
23.875	-34.43
23.9	-33.80
23.925	-33.07
23.95	-32.37
23.975	-31.77
24	-31.19
24.025	-30.93
24.05	-30.83
24.075	-30.58
24.1	-30.53
24.125	-30.51
24.15	-30.57
24.175	-30.92
24.2	-31.60
24.225	-32.13
24.25	-33.07
24.275	-34.01
24.3	-35.09
24.325	-35.97
24.35	-36.69
24.375	-37.20
24.4	-37.36
24.425	-37.36
24.45	-37.00
24.475	-36.52
24.5	-35.99
24.525	-35.59
24.55	-35.25
24.575	-35.14
24.6	-35.06
24.625	-35.17
24.65	-35.38
24.675	-35.40
24.7	-35.51
24.725	-35.50
24.75	-35.28
24.775	-35.14
24.8	-34.99
24.825	-34.85
24.85	-34.82
24.875	-34.99
24.9	-35.18
24.925	-35.20
24.95	-35.28
24.975	-35.42
25	-35.49
25.025	-35.42
25.05	-35.39
25.075	-35.40
25.1	-35.35
25.125	-35.31
25.15	-35.25
25.175	-35.08
25.2	-34.91
25.225	-34.53
25.25	-34.47
25.275	-34.34
25.3	-34.24
25.325	-34.36
25.35	-34.53
25.375	-34.49
25.4	-34.48
25.425	-34.61
25.45	-34.57
25.475	-34.56
25.5	-34.58
25.525	-34.81
25.55	-35.18
25.575	-35.58
25.6	-36.11
25.625	-36.72
25.65	-37.20
25.675	-37.52
25.7	-37.87
25.725	-37.85
25.75	-37.66
25.775	-37.53
25.8	-37.11
25.825	-36.69
25.85	-36.36
25.875	-35.66
25.9	-35.26
25.925	-34.93
25.95	-34.48
25.975	-34.24
26	-34.04
26.025	-33.80
26.05	-33.72
26.075	-33.53
26.1	-33.32
26.125	-33.10
26.15	-32.67
26.175	-32.23
26.2	-31.76
26.225	-31.52
26.25	-31.28
26.275	-30.98
26.3	-31.14
26.325	-31.13
26.35	-31.32
26.375	-31.75
26.4	-32.13
26.425	-32.53
26.45	-33.11
26.475	-33.41
26.5	-33.75
26.525	-34.14
26.55	-34.54
26.575	-34.84
26.6	-35.02
26.625	-35.17
26.65	-35.24
26.675	-35.18
26.7	-35.11
26.725	-35.00
26.75	-34.74
26.775	-34.52
26.8	-34.31
26.825	-33.97
26.85	-33.70
26.875	-33.64
26.9	-33.66
26.925	-33.55
26.95	-33.47
26.975	-33.39
27	-33.22
27.025	-33.01
27.05	-33.02
27.075	-32.74
27.1	-32.71
27.125	-32.71
27.15	-32.76
27.175	-32.78
27.2	-32.81
27.225	-32.65
27.25	-32.34
27.275	-32.18
27.3	-31.93
27.325	-31.64
27.35	-31.48
27.375	-31.50
27.4	-31.56
27.425	-31.73
27.45	-31.95
27.475	-32.07
27.5	-32.16
27.525	-32.20
27.55	-32.26
27.575	-32.34
27.6	-32.26
27.625	-32.40
27.65	-32.50
27.675	-32.79
27.7	-32.83
27.725	-32.99
27.75	-33.09
27.775	-32.88
27.8	-32.58
27.825	-32.43
27.85	-32.06
27.875	-31.74
27.9	-31.29
27.925	-31.16
27.95	-31.02
27.975	-31.03
28	-31.37
28.025	-31.92
28.05	-32.69
28.075	-33.26
28.1	-34.25
28.125	-34.98
28.15	-35.50
28.175	-35.94
28.2	-35.92
28.225	-35.67
28.25	-35.21
28.275	-34.66
28.3	-34.05
28.325	-33.39
28.35	-32.86
28.375	-32.45
28.4	-32.33
28.425	-32.36
28.45	-32.57
28.475	-32.97
28.5	-33.36
28.525	-33.66
28.55	-33.81
28.575	-33.56
28.6	-33.23
28.625	-32.88
28.65	-32.22
28.675	-31.69
28.7	-31.34
28.725	-30.83
28.75	-30.71
28.775	-30.66
28.8	-30.81
28.825	-31.28
28.85	-31.67
28.875	-32.22
28.9	-32.82
28.925	-33.45
28.95	-33.90
28.975	-34.10
29	-33.96
29.025	-33.65
29.05	-33.29
29.075	-32.96
29.1	-32.74
29.125	-32.34
29.15	-32.15
29.175	-31.70
29.2	-31.38
29.225	-31.30
29.25	-30.96
29.275	-30.55
29.3	-30.39
29.325	-30.04
29.35	-29.73
29.375	-29.63
29.4	-29.69
29.425	-29.74
29.45	-29.77
29.475	-29.76
29.5	-29.71
29.525	-29.61
29.55	-29.31
29.575	-29.14
29.6	-28.88
29.625	-28.66
29.65	-28.61
29.675	-28.46
29.7	-28.52
29.725	-28.84
29.75	-29.29
29.775	-29.59
29.8	-29.97
29.825	-30.47
29.85	-30.71
29.875	-31.02
29.9	-31.09
29.925	-30.95
