B26_2012 depth (m) center	B26_2012 d18O (permil)
0.68	 -29.45
1.25	 -34.23
1.475	-34.53
1.5	-34.85
1.525	-34.18
1.55	-33.30
1.575	-32.94
1.6	-32.78
1.625	-32.67
1.65	-32.16
1.675	-29.75
1.7	-29.40
1.725	-29.76
1.75	-30.72
1.775	-32.18
1.8	-34.00
1.825	-35.89
1.85	-37.30
1.875	-38.42
1.9	-38.46
1.925	-37.82
1.95	-36.63
1.975	-34.79
2	-32.63
2.025	-30.80
2.05	-29.07
2.075	-26.36
2.1	-26.32
2.125	-26.88
2.15	-27.95
2.175	-29.69
2.2	NaN
2.225	-32.52
2.25	-34.03
2.275	-36.27
2.3	-38.64
2.325	-40.57
2.35	-41.73
2.375	-42.10
2.4	-41.61
2.425	-40.56
2.45	-39.19
2.475	-37.97
2.5	-34.83
2.525	-32.98
2.55	-31.28
2.575	-29.93
2.6	-28.79
2.625	-28.18
2.65	-28.23
2.675	-28.53
2.7	-29.52
2.725	-30.82
2.75	-31.34
2.775	-31.99
2.8	-32.31
2.825	-32.78
2.85	-33.55
2.875	-34.66
2.9	-35.40
2.925	-35.55
2.95	-35.19
2.975	-34.93
3	-35.16
3.025	-35.33
3.05	-35.39
3.075	-35.11
3.1	-34.22
3.125	-33.33
3.15	-31.46
3.175	-30.25
3.2	-29.56
3.225	-28.83
3.25	-28.65
3.275	-28.84
3.3	-29.30
3.325	-30.63
3.35	-33.61
3.375	-34.94
3.4	-36.46
3.425	-37.47
3.45	-37.82
3.475	-37.44
3.5	-36.48
3.525	-35.33
3.55	-34.55
3.575	-34.24
3.6	-34.20
3.625	-34.24
3.65	-34.54
3.675	-34.18
3.7	-33.42
3.725	-32.50
3.75	-31.38
3.775	-30.58
3.8	-30.14
3.825	-30.27
3.85	NaN
3.875	-30.98
3.9	-31.97
3.925	-33.63
3.95	-35.32
3.975	-36.61
4	-37.52
4.025	-37.89
4.05	-37.72
4.075	-37.31
4.1	-36.33
4.125	-35.10
4.15	-33.72
4.175	-32.61
4.2	-31.39
4.225	-30.77
4.25	-30.33
4.275	-29.79
4.3	-29.67
4.325	-29.70
4.35	-29.96
4.375	-30.38
4.4	-31.25
4.425	-32.08
4.45	-32.91
4.475	-34.29
4.5	-35.40
4.525	-36.08
4.55	-36.52
4.575	-36.62
4.6	-36.28
4.625	-35.79
4.65	-35.10
4.675	-34.12
4.7	-33.14
4.725	-32.07
4.75	-31.42
4.775	-30.80
4.8	-30.05
4.825	-29.57
4.85	-29.30
4.875	-29.51
4.9	-30.16
4.925	-31.14
4.95	-31.76
4.975	-32.75
5	-33.40
5.025	-33.85
5.05	-34.03
5.075	-33.76
5.1	-33.08
5.125	-32.30
5.15	-31.28
