Year (AD)	B26_2012 topdepth (m)	B26_2012 bottomdepth (m)
2011		0.33
2010	0.33	1.02
2009	1.02	1.473
2008	1.473	1.893
2007	1.893	2.373
2006	2.373	2.925
2005	2.925	3.445
2004	3.445	3.647
2003	3.647	4.033
2002	4.033	4.558
2001	4.558	5.056
2000	5.056	5.377
1999	5.377	5.676
1998	5.676	6.21
1997	6.21	6.537
1996	6.537	6.975
1995	6.975	7.421
1994	7.421	7.897
1993	7.897	8.341
1992	8.341	8.73
1991	8.73	9.148
1990	9.148	9.503
1989	9.503	9.826
1988	9.826	10.1
1987	10.1	10.518
1986	10.518	10.89
1985	10.89	11.227
1984	11.227	11.538
1983	11.538	11.999
1982	11.999	12.275
1981	12.275	12.55
1980	12.55	12.783
1979	12.783	13.12
1978	13.12	13.483
1977	13.483	13.795
1976	13.795	14.21
1975	14.21	14.495
1974	14.495	14.832
1973	14.832	15.273
1972	15.273	15.558
1971	15.558	15.999
1970	15.999	16.259
1969	16.259	16.7
1968	16.7	16.933
1967	16.933	17.244
1966	17.244	17.659
1965	17.659	18.075
1964	18.075	18.411
1963	18.411	18.723
1962	18.723	19.06
1961	19.06	19.423
1960	19.423	19.838
1959	19.838	20.227
1958	20.227	20.425
1957	20.425	20.746
1956	20.746	21
1955	21	21.394
1954	21.394	21.68
1953	21.68	22.043
1952	22.043	22.328
1951	22.328	22.625
1950	22.625	22.847
1949	22.847	23.184
1948	23.184	23.469
1947	23.469	23.78
1946	23.78	24.05
1945	24.05	24.4
1944	24.4	24.688
1943	24.688	25.051
1942	25.051	25.389
1941	25.389	25.752
1940	25.752	26.089
1939	26.089	26.45
1938	26.45	26.737
1937	26.737	26.925
1936	26.925	27.23
1935	27.23	27.475
1934	27.475	27.749
1933	27.749	28.2
1932	28.2	28.55
1931	28.55	28.975
1930	28.975	29.225
1929	29.225	29.5
1928	29.5	29.902
1927	29.902	
