B18_2012 depth (m) center	B18_2012 d18O (permil)
0.022631578	-38.184502
0.067894734	-39.09325
0.1131579	-40.063751
0.15842105	-40.6945
0.20368421	-40.432751
0.24894737	-39.611
0.29421052	-38.1245
0.33947369	-34.995499
0.38473684	-32.421749
0.43000001	-33.627251
0.47526315	-35.205002
0.52052629	-36.124748
0.56578946	-36.487
0.61105263	-37.11525
0.6563158	-37.281998
0.67370969	-36.015251
0.70112902	-34.6245
0.72854841	-32.658752
0.75596774	-30.283501
0.78338712	-28.865
0.81080645	-28.085999
0.83822578	-28.008249
0.86564517	-28.67425
0.8930645	-29.898251
0.92048389	-32.766251
0.94790322	-34.547501
0.9753226	-35.500999
1.0027419	-35.146248
1.0301613	-34.026501
1.0575806	-32.77
1.085	-31.418751
1.1124194	-30.207748
1.1398387	-29.734249
1.167258	-29.859501
1.1946775	-31.878
1.2220968	-33.543251
1.2495161	-34.525501
1.2769355	-35.216251
1.3043548	-35.366749
1.3317742	-35.305
1.3591936	-34.9865
1.4140322	-33.922749
1.4375	-33.0895
1.4625	-31.855751
1.4875	-30.468
1.5125	-29.476
1.5375	-28.251749
1.5625	-27.533001
1.5875	-27.692751
1.6125	-28.30275
1.6375	-29.89275
1.6625	-31.994751
1.6875	-33.580498
1.7125	-34.8055
1.7375	-35.553249
1.7625	-36.856499
1.7875	-37.724499
1.8125	-38.735752
1.8375	-39.381752
1.8625	-39.76825
1.8875	-39.89875
1.9125	-39.707001
1.9375	-39.089249
1.9625	-38.3815
1.9875	-37.494247
2.0147059	-34.977001
2.0403469	-34.580002
2.0659878	-34.522999
2.091629	-34.834751
2.11727	-35.41
2.142911	-36.023003
2.1685519	-36.21125
2.1941931	-36.698997
2.2198341	-36.898251
2.2454751	-37.007
2.2711163	-36.892998
2.2967572	-36.6185
2.3223982	-35.788502
2.3480392	-35.48175
2.3736804	-34.995499
2.3993213	-34.8335
2.4249623	-34.602249
2.4506032	-34.901001
2.4762444	-35.247501
2.5018854	-35.491749
2.5275264	-35.464249
2.5531673	-35.621498
2.5788085	-35.414001
2.6044495	-35.115501
2.6300905	-35.0005
2.6557314	-35.324749
2.6813726	-35.737
2.7070136	-35.796749
2.7326546	-35.81575
2.7582955	-35.946999
2.7839367	-35.859001
2.8095777	-35.818748
2.8352187	-35.595501
2.8608596	-35.306751
2.8865008	-35.043999
2.9121418	-34.757751
2.9377828	-34.708748
2.9634237	-34.458
2.9890649	-34.391251
3.0135136	-34.65625
3.0405405	-35.025501
3.0675676	-35.271252
3.0945945	-35.546749
3.1216216	-35.55125
3.1486487	-35.569752
3.1756756	-35.165501
3.2027028	-34.88625
3.2297297	-34.736748
3.2567568	-34.736252
