B16_Schwager_Age_a_AD	B16_Schwager_Accmrate_we
1597	0.11947
1596	0.15623
1595	0.17461
1594	0.14704
1593	0.14704
1592	0.14704
1591	0.13785
1590	0.11028
1589	0.21137
1588	0.08271
1587	0.16542
1586	0.12866
1585	0.15623
1584	0.22975
1583	0.13785
1582	0.15623
1581	0.11028
1580	0.16542
1579	0.06433
1578	0.0919
1577	0.07352
1576	0.0919
1575	0.13785
1574	0.13785
1573	0.11947
1572	0.11947
1571	0.15623
1570	0.11947
1569	0.1838
1568	0.11028
1567	0.16542
1566	0.13785
1565	0.12866
1564	0.15623
1563	0.15623
1562	0.12866
1561	0.13785
1560	0.12866
1559	0.10109
1558	0.17461
1557	0.11028
1556	0.13785
1555	0.10109
1554	0.13785
1553	0.07352
1552	0.06433
1551	0.12866
1550	0.11947
1549	0.13785
1548	0.15623
1547	0.14704
1546	0.10109
1545	0.12866
1544	0.13785
1543	0.19299
1542	0.22975
1541	0.1838
1540	0.10109
1539	0.13785
1538	0.13785
1537	0.13785
1536	0.14704
1535	0.11947
1534	0.14704
1533	0.11947
1532	0.13785
1531	0.14704
1530	0.15623
1529	0.11947
1528	0.12866
1527	0.10109
1526	0.1838
1525	0.11947
1524	0.0919
1523	0.13785
1522	0.11028
1521	0.12866
1520	0.12866
1519	0.05514
1518	0.07352
1517	0.13785
1516	0.11028
1515	0.13785
1514	0.11028
1513	0.15623
1512	0.07352
1511	0.1838
1510	0.15623
1509	0.16542
1508	0.11028
1507	0.16542
1506	0.0919
1505	0.14704
1504	0.12866
1503	0.11028
1502	0.10109
1501	0.11028
1500	0.20218
1499	0.1838
1498	0.1838
1497	0.17461
1496	0.22975
1495	0.16542
1494	0.13785
1493	0.11028
1492	0.13785
1491	0.19299
1490	0.07352
1489	0.15623
1488	0.11028
1487	0.15623
1486	0.15623
1485	0.17461
1484	0.12866
1483	0.21137
1482	0.11947
1481	0.16542
1480	0.11028
1479	0.14704
1478	0.0919
