B26_Schwager_Age__a_AD_	B26_Schwager_Accmrate_we
1695	0.155495
1694	0.12526
1693	0.188119
1692	0.140607
1691	0.164685
1690	0.187752
1689	0.148602
1688	0.140975
1687	0.0943813
1686	0.157792
1685	0.157609
1684	0.126179
1683	0.219825
1682	0.181135
1681	0.150165
1680	0.196666
1679	0.166615
1678	0.213208
1677	0.126822
1676	0.134909
1675	0.269818
1674	0.269818
1673	0.20558
1672	0.211646
1671	0.11028
1670	0.159538
1669	0.175161
1668	0.175161
1667	0.127373
1666	0.118643
1665	0.199423
1664	0.206407
1663	0.119746
1662	0.199239
1661	0.18233
1660	0.191244
1659	0.134266
1658	0.095576
1657	0.206775
1656	0.150808
1655	0.247487
1654	0.199331
1653	0.136196
1652	0.16735
1651	0.206407
1650	0.1838
1649	0.200066
1648	0.168269
1647	0.183616
1646	0.136563
1645	0.176448
1644	0.120389
1643	0.112853
1642	0.200526
1641	0.151727
1640	0.154392
1639	0.164777
1638	0.184351
1637	0.135828
1636	0.15237
1635	0.248406
1634	0.136655
1633	0.209073
1632	0.136196
1631	0.160641
1630	0.144834
1629	0.153105
1628	0.23361
1627	0.160365
1626	0.201353
1625	0.169647
1624	0.144651
1623	0.200893
1622	0.17608
1621	0.120665
1620	0.160733
1619	0.0723253
1618	0.120389
1617	0.16882
1616	0.136839
1615	0.186006
1614	0.153657
1613	0.112577
1612	0.137023
1611	0.120757
1610	0.153289
1609	0.161468
1608	0.129395
1607	0.177918
1606	0.136288
1605	0.18426
1604	0.168177
1603	0.112761
1602	0.121216
1601	0.226074
1600	0.209348
1599	0.170199
1598	0.153565
1597	0.145753
1596	0.137666
1595	0.145753
1594	0.153933
1593	0.153933
1592	0.250795
1591	0.145661
1590	0.16156
1589	0.1214
1588	0.121032
1587	0.112945
1586	0.162387
1585	0.19446
1584	0.137758
1583	0.202823
1582	0.145753
1581	0.121584
1580	0.137115
1579	0.227453
1578	0.162479
1577	0.162939
1576	0.11368
1575	0.113405
1574	0.105685
1573	0.138218
1572	0.179297
1571	0.179297
1570	0.218814
1569	0.1543
1568	0.138126
1567	0.138034
1566	0.154484
1565	0.235907
1564	0.20411
1563	0.212381
1562	0.195655
1561	0.121951
1560	0.162663
1559	0.1543
1558	0.178929
1557	0.162939
1556	0.105961
1555	0.146672
1554	0.212105
1553	0.146397
1552	0.162755
1551	0.138953
1550	0.14704
1549	0.172037
1548	0.155403
1547	0.163398
1546	0.138585
1545	0.179205
1544	0.139045
1543	0.130958
1542	0.229382
1541	0.147316
1540	0.139596
1539	0.188579
1538	0.155862
1537	0.147775
1536	0.164501
1535	0.147959
1534	0.139964
1533	0.148143
1532	0.139504
1531	0.164042
1530	0.106696
1529	0.180675
1528	0.131601
1527	0.205213
1526	0.180492
1525	0.180675
1524	0.164133
1523	0.139504
1522	0.131141
1521	0.156046
1520	0.17268
1519	0.147867
1518	0.147683
1517	0.147591
1516	0.147867
1515	0.139596
1514	0.106604
1513	0.212932
1512	0.170015
1511	0.155495
1510	0.131141
1509	0.189406
1508	0.164593
1507	0.164869
1506	0.115518
1505	0.181043
1504	0.172037
1503	0.188763
1502	0.204478
