B26_Schwager_Age__a_AD_	B26_Schwager_Accmrate_we
1994	0.136288
1993	0.0917162
1992	0.212013
1991	0.167993
1990	0.177367
1989	0.120205
1988	0.221571
1987	0.162112
1986	0.105869
1985	0.167717
1984	0.0913486
1983	0.121951
1982	0.090062
1981	0.158619
1980	0.104215
1979	0.176264
1978	0.157884
1977	0.176908
1976	0.171669
1975	0.203742
1974	0.208613
1973	0.138585
1972	0.15283
1971	0.115978
1970	0.147224
1969	0.151359
1968	0.169647
1967	0.137299
1966	0.0821586
1965	0.167166
1964	0.160825
1963	0.167442
1962	0.132336
1961	0.108074
1960	0.117632
1959	0.168912
1958	0.175529
1957	0.13252
1956	0.158527
1955	0.0989763
1954	0.124341
1953	0.158711
1952	0.0847318
1951	0.104215
1950	0.167074
1949	0.146764
1948	0.171577
1947	0.122503
1946	0.107707
1945	0.174059
1944	0.235815
1943	0.236367
1942	0.240594
1941	0.252725
1940	0.216057
1939	0.203099
1938	0.113037
1937	0.238481
1936	0.189498
1935	0.233058
1934	0.239675
1933	0.137023
1932	0.139412
1931	0.207694
1930	0.249784
1929	0.218998
1928	0.212565
1927	0.177183
1926	0.219182
1925	0.298767
1924	0.187568
1923	0.164133
1922	0.198688
1921	0.184443
1920	0.160549
1919	0.16588
1918	0.167534
1917	0.169647
1916	0.187476
1915	0.268348
1914	0.193909
1913	0.140515
1912	0.146121
1911	0.141067
1910	0.118643
1909	0.146856
1908	0.169831
1907	0.111475
1906	0.141434
1905	0.147775
1904	0.17994
1903	0.154208
1902	0.166707
1901	0.146581
1900	0.146397
1899	0.131785
1898	0.115886
1897	0.133347
1896	0.140883
1895	0.18913
1894	0.16588
1893	0.130314
1892	0.0797692
1891	0.129028
1890	0.219917
1889	0.252725
1888	0.155679
1887	0.168453
1886	0.17847
1885	0.190692
1884	0.170291
1883	0.182697
1882	0.207143
1881	0.220836
1880	0.156873
1879	0.144651
1878	0.203742
1877	0.1838
1876	0.174059
1875	0.171302
1874	0.184168
1873	0.176632
1872	0.222766
1871	0.101825
1870	0.155862
1869	0.231129
1868	0.188671
1867	0.161744
1866	0.110188
1865	0.19299
1864	0.183708
1863	0.147775
1862	0.193174
1861	0.218906
1860	0.176724
1859	0.224052
1858	0.233886
1857	0.251898
1856	0.118735
1855	0.179205
1854	0.159446
1853	0.205672
1852	0.133071
1851	0.206224
1850	0.267613
1849	0.146305
1848	0.16156
1847	0.214678
1846	0.182513
1845	0.136471
1844	0.142905
1843	0.196023
1842	0.148419
1841	0.146764
1840	0.110004
1839	0.239308
1838	0.145386
1837	0.118459
1836	0.198596
1835	0.129947
1834	0.164225
1833	0.131417
1832	0.129671
1831	0.149062
1830	0.178837
1829	0.199791
1828	0.139045
1827	0.199239
1826	0.200893
1825	0.159079
1824	0.171761
1823	0.174059
1822	0.138769
1821	0.172956
1820	0.116897
1819	0.110004
1818	0.196758
1817	0.153841
1816	0.230669
1815	0.132704
1814	0.175529
1813	0.199147
1812	0.162663
1811	0.184627
1810	0.128201
1809	0.21183
1808	0.208245
1807	0.186189
1806	0.19639
1805	0.146948
1804	0.213851
1803	0.248222
1802	0.143548
1801	0.166339
1800	0.201261
1799	0.0872131
1798	0.1872
1797	0.165144
1796	0.152003
1795	0.145845
1794	0.12912
1793	0.10063
1792	0.161193
1791	0.11028
1790	0.167258
1789	0.169739
1788	0.161836
1787	0.225155
1786	0.204202
1785	0.161928
1784	0.243351
1783	0.197493
1782	0.240594
1781	0.176724
1780	0.191887
1779	0.158436
1778	0.11074
1777	0.25006
1776	0.109269
1775	0.161101
1774	0.179665
1773	0.116621
1772	0.228372
1771	0.140975
1770	0.145845
1769	0.215322
1768	0.211186
1767	0.198872
1766	0.205213
1765	0.147132
1764	0.119378
1763	0.0904296
1762	0.150165
1761	0.0895106
1760	0.211738
1759	0.171853
1758	0.216149
1757	0.148602
1756	0.142077
1755	0.119286
1754	0.141158
1753	0.158619
1752	0.143456
1751	0.159263
1750	0.235632
1749	0.217987
1748	0.106053
1747	0.159263
1746	0.188119
1745	0.13638
1744	0.159722
1743	0.204845
1742	0.130039
1741	0.196758
1740	0.238205
1739	0.181411
1738	0.17461
1737	0.143732
1736	0.174518
1735	0.144651
1734	0.230118
1733	0.205397
1732	0.136747
1731	0.153381
1730	0.169372
1729	0.16202
1728	0.199515
1727	0.146121
1726	0.176448
1725	0.184903
1724	0.162204
1723	0.160733
1722	0.131693
1721	0.154852
1720	0.147408
1719	0.170566
1718	0.139412
1717	0.201169
1716	0.131968
1715	0.124065
1714	0.2167
1713	0.177275
1712	0.0931866
1711	0.147316
1710	0.140056
1709	0.179389
1708	0.117448
1707	0.141434
1706	0.163582
1705	0.164409
1704	0.117724
1703	0.157241
1702	0.14125
1701	0.0941056
1700	0.157241
1699	0.147132
1698	0.140607
1697	0.172037
1696	0.125076
