B29_Schwager_Age_a_AD_	B29_Schwager_Accmrate_we
1599	0.124984
1598	0.171853
1597	0.155311
1596	0.240778
1595	0.207694
1594	0.131417
1593	0.15623
1592	0.270186
1591	0.127741
1590	0.184719
1589	0.160825
1588	0.19299
1587	0.130498
1586	0.160825
1585	0.126822
1584	0.090062
1583	0.129579
1582	0.225155
1581	0.11028
1580	0.16542
1579	0.135093
1578	0.184719
1577	0.099252
1576	0.114875
1575	0.136012
1574	0.115794
1573	0.150716
1572	0.181043
1571	0.120389
1570	0.146121
1569	0.139688
1568	0.127741
1567	0.117632
1566	0.144283
1565	0.120389
1564	0.158068
1563	0.15623
1562	0.144283
1561	0.151635
1560	0.132336
1559	0.125903
1558	0.080872
1557	0.120389
1556	0.162663
1555	0.167258
1554	0.116713
1553	0.135093
1552	0.132336
1551	0.158068
1550	0.166339
1549	0.148878
1548	0.103847
1547	0.22056
1546	0.155311
1545	0.17461
1544	0.164501
1543	0.168177
1542	0.127741
1541	0.121308
1540	0.120389
1539	0.100171
1538	0.215965
1537	0.140607
1536	0.123146
1535	0.136012
1534	0.127741
1533	0.150716
1532	0.178286
1531	0.089143
1530	0.141526
1529	0.127741
1528	0.215046
1527	0.115794
1526	0.116713
1525	0.099252
1524	0.152554
1523	0.131417
1522	0.084548
1521	0.131417
1520	0.131417
1519	0.151635
1518	0.111199
1517	0.17461
1516	0.142445
1515	0.145202
1514	0.164501
1513	0.140607
1512	0.112118
1511	0.123146
1510	0.147959
1509	0.132336
1508	0.147959
1507	0.135093
1506	0.131417
1505	0.12866
1504	0.136012
1503	0.163582
1502	0.170934
1501	0.131417
1500	0.120389
1499	0.103847
1498	0.0919
1497	0.16542
1496	0.140607
1495	0.112118
1494	0.12866
1493	0.115794
1492	0.139688
1491	0.133255
1490	0.181962
1489	0.213208
1488	0.1838
1487	0.090062
1486	0.107523
1485	0.084548
1484	0.118551
1483	0.125903
1482	0.148878
1481	0.136012
1480	0.150716
1479	0.099252
1478	0.124065
1477	0.173691
