B18_Schwager_Age_a_AD	B18_Schwager_Accmrate_we
1992	0.060654
1991	0.0957598
1990	0.0987006
1989	0.133439
1988	0.07352
1987	0.060654
1986	0.153381
1985	0.0837209
1984	0.0962193
1983	0.126087
1982	0.104674
1981	0.0726929
1980	0.196207
1979	0.0690169
1978	0.0797692
1977	0.0857427
1976	0.135461
1975	0.0769203
1974	0.0774717
1973	0.134266
1972	0.105226
1971	0.0865698
1970	0.136839
1969	0.0636867
1968	0.163766
1967	0.0755418
1966	0.103939
1965	0.204478
1964	0.116254
1963	0.0704873
1962	0.0862022
1961	0.111659
1960	0.056059
1959	0.05514
1958	0.06433
1957	0.05514
1956	0.07352
1955	0.07352
1954	0.03676
1953	0.06433
1952	0.12866
1951	0.07352
1950	0.05514
1949	0.12866
1948	0.08271
1947	0.11028
1946	0.08271
1945	0.14704
1944	0.0919
1943	0.06433
1942	0.0919
1941	0.08271
1940	0.08271
1939	0.15623
1938	0.06433
1937	0.08271
1936	0.12866
1935	0.10109
1934	0.11947
1933	0.08271
1932	0.08271
1931	0.11947
1930	0.10109
1929	0.10109
1928	0.0919
1927	0.12866
1926	0.07352
1925	0.06433
1924	0.08271
1923	0.04595
1922	0.0919
1921	0.0919
1920	0.13785
1919	0.0919
1918	0.11947
1917	0.06433
1916	0.11947
1915	0.06433
1914	0.17461
1913	0.14704
1912	0.15623
1911	0.17461
1910	0.15623
1909	0.10109
1908	0.12866
1907	0.10109
1906	0.06433
1905	0.11947
1904	0.08271
1903	0.10109
1902	0.10109
1901	0.08271
1900	0.04595
1899	0.07352
1898	0.11947
1897	0.06433
1896	0.08271
1895	0.08271
1894	0.11028
1893	0.08271
1892	0.12866
1891	0.11947
1890	0.11947
1889	0.08271
1888	0.06433
1887	0.10109
1886	0.10109
1885	0.07352
1884	0.05514
1883	0.0919
1882	0.12866
1881	0.0919
1880	0.0919
1879	0.04595
1878	0.0919
1877	0.06433
1876	0.06433
1875	0.06433
1874	0.11947
1873	0.08271
1872	0.11028
1871	0.10109
1870	0.08271
1869	0.20218
1868	0.04595
1867	0.12866
1866	0.13785
1865	0.12866
1864	0.05514
1863	0.07352
1862	0.11947
1861	0.10109
1860	0.0919
1859	0.0919
1858	0.11028
1857	0.08271
1856	0.10109
1855	0.0919
1854	0.03676
1853	0.10109
1852	0.12866
1851	0.11028
1850	0.10109
1849	0.12866
1848	0.0919
1847	0.08271
1846	0.13785
1845	0.06433
1844	0.11947
1843	0.0919
1842	0.13785
1841	0.08271
1840	0.11947
1839	0.10109
1838	0.06433
1837	0.10109
1836	0.14704
1835	0.10109
1834	0.13785
1833	0.0919
1832	0.12866
1831	0.10109
1830	0.07352
1829	0.10109
1828	0.06433
1827	0.12866
1826	0.11947
1825	0.11028
1824	0.15623
1823	0.06433
1822	0.05514
1821	0.11947
1820	0.15623
1819	0.10109
1818	0.08271
1817	0.14704
1816	0.07352
1815	0.05514
1814	0.10109
1813	0.08271
1812	0.10109
1811	0.12866
1810	0.11028
1809	0.0919
1808	0.12866
1807	0.11028
1806	0.10109
1805	0.05514
1804	0.08271
1803	0.0919
1802	0.13785
1801	0.07352
1800	0.11947
1799	0.11028
1798	0.0919
1797	0.06433
1796	0.08271
1795	0.06433
1794	0.05514
1793	0.08271
1792	0.07352
1791	0.05514
1790	0.12866
1789	0.10109
1788	0.14704
1787	0.13785
1786	0.0919
1785	0.12866
1784	0.07352
