B18_Schwager_Age_a_AD	B18_Schwager_Accmrate_we
1783	0.11028
1782	0.08271
1781	0.06433
1780	0.11947
1779	0.10109
1778	0.13785
1777	0.11947
1776	0.08271
1775	0.07352
1774	0.10109
1773	0.08271
1772	0.11028
1771	0.08271
1770	0.06433
1769	0.08271
1768	0.08271
1767	0.14704
1766	0.15623
1765	0.0919
1764	0.05514
1763	0.10109
1762	0.06433
1761	0.08271
1760	0.10109
1759	0.07352
1758	0.10109
1757	0.0919
1756	0.06433
1755	0.08271
1754	0.12866
1753	0.12866
1752	0.10109
1751	0.08271
1750	0.05514
1749	0.11028
1748	0.06433
1747	0.0919
1746	0.13785
1745	0.05514
1744	0.0919
1743	0.06433
1742	0.11028
1741	0.11028
1740	0.11947
1739	0.08271
1738	0.10109
1737	0.11947
1736	0.05514
1735	0.0919
1734	0.0919
1733	0.12866
1732	0.11947
1731	0.05514
1730	0.10109
1729	0.12866
1728	0.15623
1727	0.11947
1726	0.16542
1725	0.16542
1724	0.10109
1723	0.21137
1722	0.06433
1721	0.13785
1720	0.07352
1719	0.11947
1718	0.0919
1717	0.06433
1716	0.11028
1715	0.07352
1714	0.12866
1713	0.10109
1712	0.11028
1711	0.11028
1710	0.07352
1709	0.05514
1708	0.11947
1707	0.10109
1706	0.0919
1705	0.07352
1704	0.11028
1703	0.0919
1702	0.05514
1701	0.03676
1700	0.05514
1699	0.05514
1698	0.11947
1697	0.11028
1696	0.103479
1695	0.0747147
1694	0.125352
1693	0.103755
1692	0.111842
1691	0.0748985
1690	0.0601945
1689	0.0919
1688	0.0750823
1687	0.0850994
1686	0.0669951
1685	0.0708549
1684	0.129303
1683	0.114967
1682	0.0934623
1681	0.0585403
1680	0.117356
1679	0.0691088
1678	0.110556
1677	0.0679141
1676	0.109177
1675	0.0884078
1674	0.0633191
1673	0.10302
1672	0.102928
1671	0.113129
1670	0.127741
1669	0.0925433
1668	0.105869
1667	0.0780231
1666	0.0619406
1665	0.101825
1664	0.0945651
1663	0.0784826
1662	0.0709468
1661	0.0715901
1660	0.0692007
1659	0.0640543
1658	0.0813315
1657	0.0951165
1656	0.128384
1655	0.133163
1654	0.121124
1653	0.0778393
1652	0.0964031
1651	0.151635
1650	0.103847
1649	0.0658923
1648	0.0939218
1647	0.103479
1646	0.124341
1645	0.0925433
1644	0.0919919
1643	0.097414
1642	0.0782069
1641	0.0877645
1640	0.0912567
1639	0.105961
1638	0.122595
1637	0.112669
1636	0.107064
1635	0.0715901
1634	0.116621
1633	0.109269
1632	0.116805
1631	0.130406
1630	0.128936
1629	0.0884997
1628	0.120113
1627	0.0811477
1626	0.0722334
1625	0.0889592
1624	0.140515
1623	0.13638
1622	0.0683736
1621	0.0623082
1620	0.0654328
1619	0.137023
1618	0.0897863
1617	0.079034
1616	0.100263
1615	0.107799
1614	0.101641
1613	0.0742552
1612	0.0985168
1611	0.0924514
1610	0.0757256
1609	0.0878564
1608	0.081791
1607	0.14851
1606	0.086386
1605	0.0803206
1604	0.0954841
1603	0.0985168
1602	0.0878564
1601	0.0908891
1600	0.0953922
1599	0.1543
1598	0.116437
1597	0.0544967
1596	0.090981
1595	0.0760013
1594	0.0806882
1593	0.115886
1592	0.117724
1591	0.101182
1590	0.101366
1589	0.122778
1588	0.0613892
1587	0.0766446
1586	0.102652
1585	0.118
1584	0.133163
1583	0.0704873
1582	0.0766446
1581	0.125995
1580	0.107707
1579	0.129487
1578	0.0694764
1577	0.0850075
1576	0.083629
1575	0.0975978
1574	0.108442
1573	0.0914405
1572	0.103847
1571	0.0915324
1570	0.099252
1569	0.094657
1568	0.108718
1567	0.219365
1566	0.113772
1565	0.101366
1564	0.104582
1563	0.10449
1562	0.111842
1561	0.0603783
1560	0.117173
1559	0.0890511
1558	0.0998034
1557	0.0893268
1556	0.072601
1555	0.0975978
1554	0.124433
1553	0.0763689
1552	0.0919
1551	0.108993
1550	0.11368
1549	0.108993
1548	0.0778393
1547	0.080872
1546	0.105777
1545	0.0857427
1544	0.145294
1543	0.0970464
1542	0.0564266
1541	0.086386
1540	0.142721
1539	0.0839966
1538	0.115702
1537	0.0951165
1536	0.128384
1535	0.0684655
1534	0.0986087
1533	0.126087
1532	0.0567023
1531	0.0755418
1530	0.14125
1529	0.104858
1528	0.134174
1527	0.0902458
1526	0.0949327
1525	0.158895
1524	0.0810558
1523	0.0907053
1522	0.100539
1521	0.0741633
1520	0.0839966
1519	0.065249
1518	0.0498098
1517	0.0642381
1516	0.0595512
1515	0.106145
1514	0.128476
1513	0.0837209
1512	0.0894187
1511	0.109269
1510	0.121216
1509	0.103847
1508	0.074439
1507	0.101917
1506	0.114967
1505	0.0800449
1504	0.11561
1503	0.0708549
1502	0.0741633
1501	0.122962
1500	0.118459
1499	0.0947489
1498	0.0757256
1497	0.0521992
1496	0.0896025
1495	0.0842723
1494	0.111842
1493	0.0554157
1492	0.0828938
1491	0.0995277
1490	0.129855
1489	0.0714063
1488	0.0921757
1487	0.0875807
1486	0.0876726
1485	0.0779312
1484	0.0760013
1483	0.083629
1482	0.0628596
1481	0.124065
1480	0.120113
1479	0.0635948
1478	0.103755
1477	0.112394
1476	0.15623
1475	0.113956
1474	0.144007
1473	0.0782069
1472	0.089143
1471	0.112669
1470	0.0980573
1469	0.0835371
1468	0.0913486
1467	0.0774717
1466	0.124249
1465	0.0960355
1464	0.106145
1463	0.17461
1462	0.07352
1461	0.05514
1460	0.10109
1459	0.11947
1458	0.04595
1457	0.11028
1456	0.12866
1455	0.07352
1454	0.06433
1453	0.04595
1452	0.12866
1451	0.10109
1450	0.05514
1449	0.08271
1448	0.11947
1447	0.07352
1446	0.11947
1445	0.12866
1444	0.11947
1443	0.06433
1442	0.08271
1441	0.06433
1440	0.07352
1439	0.0919
1438	0.10109
1437	0.0915324
1436	0.0885916
1435	0.115978
1434	0.137023
1433	0.0913486
1432	0.1214
1431	0.103571
1430	0.0805044
1429	0.0899701
1428	0.113129
1427	0.107891
1426	0.1214
1425	0.133255
1424	0.0988844
1423	0.0783907
1422	0.0596431
1421	0.0583565
1420	0.0692007
1419	0.114048
1418	0.16689
1417	0.0718658
1416	0.0651571
1415	0.0650652
1414	0.12333
1413	0.088224
1412	0.0801368
1411	0.0771041
1410	0.0801368
1409	0.100539
1408	0.138953
1407	0.0871212
1406	0.102101
1405	0.127282
1404	0.126454
1403	0.12673
1402	0.0982411
1401	0.126271
1400	0.133071
1399	0.109637
1398	0.129855
1397	0.154852
1396	0.0734281
1395	0.119654
1394	0.0947489
1393	0.0813315
1392	0.0800449
1391	0.0964031
1390	0.113864
1389	0.0923595
1388	0.0892349
1387	0.0801368
1386	0.0746228
1385	0.0732443
1384	0.120849
1383	0.143456
1382	0.103204
1381	0.0815153
1380	0.0896025
1379	0.0871212
1378	0.0667194
1377	0.0743471
1376	0.0807801
1375	0.0829857
1374	0.0831695
1373	0.0749904
1372	0.068006
1371	0.0913486
1370	0.0737038
1369	0.125352
1368	0.101182
1367	0.124433
1366	0.106604
1365	0.0830776
1364	0.0708549
1363	0.104766
1362	0.0908891
1361	0.0828019
1360	0.113864
1359	0.109821
1358	0.071682
1357	0.0800449
1356	0.101641
1355	0.0732443
1354	0.134082
1353	0.0905215
1352	0.0968626
1351	0.0870293
1350	0.103479
1349	0.112945
1348	0.0654328
1347	0.0843642
1346	0.0748985
1345	0.070763
1344	0.100906
1343	0.0969545
1342	0.125627
1341	0.0627677
1340	0.102101
1339	0.125719
1338	0.155679
1337	0.129303
1336	0.132979
1335	0.123697
1334	0.125168
1333	0.070763
1332	0.186006
1331	0.107155
1330	0.170475
1329	0.148235
1328	0.0791259
1327	0.087305
1326	0.0765527
1325	0.10109
1324	0.118827
1323	0.100171
1322	0.0951165
1321	0.0752661
1320	0.105134
1319	0.109912
1318	0.143548
1317	0.15669
1316	0.0742552
1315	0.0662599
1314	0.141802
1313	0.163582
1312	0.0712225
1311	0.112669
1310	0.0784826
1309	0.0770122
1308	0.0963112
1307	0.0977816
1306	0.111475
1305	0.0743471
1304	0.110188
1303	0.0865698
1302	0.0879483
1301	0.0947489
1300	0.0756337
1299	0.103296
1298	0.0837209
1297	0.0797692
1296	0.0963112
1295	0.112761
1294	0.104582
1293	0.0757256
1292	0.0852832
1291	0.103112
1290	0.0904296
1289	0.0697521
1288	0.0669951
1287	0.0694764
1286	0.105042
1285	0.0519235
1284	0.0601945
1283	0.0860184
1282	0.0846399
1281	0.0751742
1280	0.0518316
1279	0.042274
1278	0.0818829
1277	0.123054
1276	0.0641462
1275	0.101825
1274	0.0769203
1273	0.047788
1272	0.0601026
1271	0.0504531
1270	0.068006
1269	0.0873969
1268	0.0587241
1267	0.0807801
1266	0.058816
1265	0.0546805
1264	0.0575294
1263	0.0614811
1262	0.0478799
1261	0.0766446
1260	0.143732
1259	0.0905215
1258	0.0812396
1257	0.0865698
1256	0.0425497
1255	0.0780231
1254	0.0601026
1253	0.0818829
1252	0.0997115
1251	0.0766446
1250	0.0819748
1249	0.0764608
1248	0.058816
1247	0.101274
1246	0.105134
1245	0.0547724
1244	0.0888673
1243	0.0874888
1242	0.0613892
1241	0.092819
1240	0.076277
1239	0.0709468
1238	0.0437444
1237	0.0409874
1236	0.061573
1235	0.100079
1234	0.0877645
1233	0.052383
1232	0.0870293
1231	0.0579889
1230	0.071682
1229	0.0427335
1228	0.0660761
1227	0.0949327
1226	0.0907053
1225	0.128844
1224	0.160274
1223	0.169739
1222	0.098333
1221	0.125168
1220	0.0640543
1219	0.0737038
1218	0.090062
1217	0.0711306
1216	0.111015
1215	0.0675465
1214	0.118183
1213	0.121951
1212	0.090062
1211	0.122962
1210	0.142537
1209	0.10109
1208	0.0901539
1207	0.135001
1206	0.104123
1205	0.0985168
1204	0.045031
1203	0.0587241
1202	0.0777474
1201	0.121308
1200	0.149154
1199	0.0521073
1198	0.160182
1197	0.056059
1196	0.0918081
1195	0.0739795
1194	0.112394
1193	0.0850994
1192	0.100079
1191	0.0794935
1190	0.0493503
1189	0.0805963
1188	0.0888673
1187	0.0833533
1186	0.0559671
1185	0.106236
1184	0.0996196
1183	0.121216
1182	0.0761851
1181	0.0791259
1180	0.109821
1179	0.117908
1178	0.104674
1177	0.146213
1176	0.0889592
1175	0.0916243
1174	0.056059
1173	0.110923
1172	0.0766446
1171	0.080872
1170	0.0998953
1169	0.075358
1168	0.119102
1167	0.0999872
1166	0.123054
1165	0.0889592
1164	0.105226
1163	0.0929109
1162	0.0656166
1161	0.0779312
1160	0.0997115
1159	0.110648
1158	0.0755418
1157	0.0549562
1156	0.112394
1155	0.0630434
1154	0.0575294
1153	0.06433
1152	0.0738876
1151	0.0984249
1150	0.0779312
1149	0.067087
1148	0.109545
1147	0.0820667
1146	0.0876726
1145	0.0602864
1144	0.0630434
1143	0.06433
1142	0.120205
1141	0.0642381
1140	0.0656166
1139	0.0709468
1138	0.105501
1137	0.104215
1136	0.100079
1135	0.105593
1134	0.0425497
1133	0.0630434
1132	0.0672708
1131	0.10688
1130	0.0987925
1129	0.0687412
1128	0.083629
1127	0.0971383
1126	0.0846399
1125	0.0752661
1124	0.0930947
1123	0.0738876
1122	0.113588
1121	0.0657085
1120	0.105409
1119	0.078115
1118	0.0452148
1117	0.0602864
1116	0.0507288
1115	0.0683736
1114	0.0849156
1113	0.0819748
1112	0.153565
1111	0.142629
1110	0.0809639
1109	0.0672708
1108	0.0686493
1107	0.0658923
1106	0.0515559
1105	0.0638705
1104	0.0809639
1103	0.0934623
1102	0.0838128
1101	0.097414
1100	0.132795
1099	0.142169
1098	0.0629515
1097	0.108074
1096	0.0917162
1095	0.0957598
1094	0.120297
1093	0.0848237
1092	0.0926352
1091	0.0729686
1090	0.0888673
1089	0.0438363
1088	0.0438363
1087	0.0712225
1086	0.0554157
1085	0.0622163
1084	0.058816
1083	0.113497
1082	0.124433
1081	0.07352
1080	0.0535777
1079	0.0930947
1078	0.0986087
1077	0.0709468
1076	0.0550481
1075	0.110923
1074	0.0778393
1073	0.128476
1072	0.112026
1071	0.081791
1070	0.129303
1069	0.116805
1068	0.0857427
1067	0.112669
1066	0.0791259
1065	0.072601
1064	0.119102
1063	0.080872
1062	0.0671789
1061	0.0739795
1060	0.145386
1059	0.0794935
1058	0.078115
1057	0.0820667
1056	0.108258
1055	0.111015
1054	0.124525
1053	0.0956679
1052	0.0820667
1051	0.0930947
1050	0.067087
1049	0.0561509
1048	0.0712225
1047	0.139688
1046	0.0752661
1045	0.109637
1044	0.0879483
1043	0.0782069
1042	0.080872
1041	0.0986087
1040	0.115151
1039	0.0878564
1038	0.111291
1037	0.146764
1036	0.0630434
1035	0.128936
1034	0.0905215
1033	0.0769203
1032	0.112761
1031	0.112669
1030	0.143456
1029	0.195012
1028	0.172221
1027	0.195563
1026	0.143548
1025	0.124341
1024	0.140607
1023	0.138953
1022	0.149246
1021	0.140056
1020	0.149705
1019	0.19639
1018	0.154943
1017	0.159538
1016	0.0913486
1015	0.210451
1014	0.0984249
1013	0.180675
1012	0.190141
1011	0.161193
1010	0.22102
1009	0.116529
1008	0.0645138
1007	0.080872
1006	0.097414
1005	0.150532
1004	0.0777474
1003	0.144651
1002	0.109545
1001	0.119286
1000	0.111383
999	0.143823
998	0.0533939
997	0.0534858
996	0.0521073
995	0.069844
994	0.0506369
993	0.0574375
992	0.06433
991	0.0930028
990	0.0862941
989	0.0960355
988	0.13206
987	0.0905215
986	0.0800449
985	0.12719
984	0.099252
983	0.110004
982	0.114232
981	0.0577132
980	0.107155
979	0.108534
978	0.0618487
977	0.111199
976	0.0768284
975	0.0949327
974	0.0728767
973	0.0782988
972	0.0907053
971	0.151084
970	0.0961274
969	0.0673627
968	0.105777
967	0.0743471
966	0.0895106
965	0.0853751
964	0.0976897
963	0.129303
962	0.134633
961	0.180124
960	0.142813
959	0.119286
958	0.0903377
957	0.10881
956	0.104766
955	0.0785745
954	0.0649733
953	0.0980573
952	0.179573
951	0.108993
950	0.120205
949	0.0566104
948	0.0676384
947	0.0701197
946	0.0646976
945	0.0486151
944	0.0953003
943	0.0773798
942	0.0814234
941	0.0987006
940	0.0975978
939	0.0880402
938	0.057897
937	0.0660761
936	0.0702116
935	0.077196
934	0.113956
933	0.130774
932	0.13739
931	0.0908891
930	0.0619406
929	0.0616649
928	0.0906134
927	0.0932785
926	0.120849
925	0.0866617
924	0.0688331
923	0.116989
922	0.116989
921	0.0668113
920	0.106145
919	0.114507
918	0.100263
917	0.100263
916	0.100263
915	0.0442958
914	0.0584484
913	0.0835371
912	0.106145
911	0.0919
910	0.0835371
909	0.0693845
908	0.0835371
907	0.106145
906	0.0861103
905	0.0977816
904	0.11368
903	0.0751742
902	0.0869374
901	0.0693845
900	0.0584484
899	0.0584484
898	0.0835371
897	0.136196
896	0.142077
895	0.114507
894	0.0861103
893	0.12866
892	0.0885916
891	0.106145
890	0.102744
889	0.0501774
888	0.103663
887	0.0668113
886	0.0943813
885	0.111107
884	0.06433
883	0.0894187
882	0.0584484
881	0.0668113
880	0.0835371
879	0.116989
878	0.138677
877	0.0977816
876	0.0861103
875	0.142077
874	0.0977816
873	0.0835371
872	0.0919
871	0.136196
